g1,g2,n1,n2,eps,feasible,chi,d1_i,d1_j,d1_ij,eps_add,SL,panel,origin
b3731,b3738,atpC,atpB,0.5,True,0.0,129.721954850527,129.721954850527,129.7219548505272,-19586.667612014615,False,A,panel
b3731,b3738,atpC,atpB,0.25,True,0.0,64.86074477132381,64.86074477132381,64.8607447713239,-19586.667612014615,False,A,panel
b3731,b3738,atpC,atpB,0.125,True,0.0,32.43013973172044,32.43013973172044,32.43013973172986,-19586.667612014615,False,A,panel
b3731,b3738,atpC,atpB,0.0625,True,0.0,16.214837211918624,16.214837211918624,16.21483721192078,-19586.667612014615,False,A,panel
b3731,b3738,atpC,atpB,0.03125,True,0.0,8.107185952017195,8.107185952017195,8.107185952018536,-19586.667612014615,False,A,panel
b3732,b3733,atpD,atpG,1.0,True,0.0,272.9656969818416,272.9656969818416,272.9656969818416,-19586.667612014615,False,A,panel
b3732,b3733,atpD,atpG,0.5,True,0.0,129.721954850527,129.721954850527,129.7219548505272,-19586.667612014615,False,A,panel
b3732,b3733,atpD,atpG,0.25,True,0.0,64.86074477132381,64.86074477132381,64.8607447713239,-19586.667612014615,False,A,panel
b3732,b3733,atpD,atpG,0.125,True,0.0,32.43013973172044,32.43013973172044,32.43013973172986,-19586.667612014615,False,A,panel
b3732,b3733,atpD,atpG,0.0625,True,0.0,16.214837211918624,16.214837211918624,16.21483721192078,-19586.667612014615,False,A,panel
b3732,b3733,atpD,atpG,0.03125,True,0.0,8.107185952017195,8.107185952017195,8.107185952018536,-19586.667612014615,False,A,panel
b3732,b3738,atpD,atpB,1.0,True,0.0,272.9656969818416,272.9656969818416,272.9656969818416,-19586.667612014615,False,A,panel
b3732,b3738,atpD,atpB,0.5,True,0.0,129.721954850527,129.721954850527,129.7219548505272,-19586.667612014615,False,A,panel
b3732,b3738,atpD,atpB,0.25,True,0.0,64.86074477132381,64.86074477132381,64.8607447713239,-19586.667612014615,False,A,panel
b3732,b3738,atpD,atpB,0.125,True,0.0,32.43013973172044,32.43013973172044,32.43013973172986,-19586.667612014615,False,A,panel
b3732,b3738,atpD,atpB,0.0625,True,0.0,16.214837211918624,16.214837211918624,16.21483721192078,-19586.667612014615,False,A,panel
b3732,b3738,atpD,atpB,0.03125,True,0.0,8.107185952017195,8.107185952017195,8.107185952018536,-19586.667612014615,False,A,panel
b3733,b3738,atpG,atpB,1.0,True,0.0,272.9656969818416,272.9656969818416,272.9656969818416,-19586.667612014615,False,A,panel
b3733,b3738,atpG,atpB,0.5,True,0.0,129.721954850527,129.721954850527,129.7219548505272,-19586.667612014615,False,A,panel
b3733,b3738,atpG,atpB,0.25,True,0.0,64.86074477132381,64.86074477132381,64.8607447713239,-19586.667612014615,False,A,panel
b3733,b3738,atpG,atpB,0.125,True,0.0,32.43013973172044,32.43013973172044,32.43013973172986,-19586.667612014615,False,A,panel
b3733,b3738,atpG,atpB,0.0625,True,0.0,16.214837211918624,16.214837211918624,16.21483721192078,-19586.667612014615,False,A,panel
b3733,b3738,atpG,atpB,0.03125,True,0.0,8.107185952017195,8.107185952017195,8.107185952018536,-19586.667612014615,False,A,panel
b0722,b2283,sdhD,nuoG,1.0,True,101.28580689036127,178.92277038749427,124.81676294043336,294.7488844891265,9792.82985718344,False,A,panel
b0722,b2283,sdhD,nuoG,0.5,True,50.561920401752744,89.44921622908122,62.40825267498162,147.3651708103887,9792.82985718344,False,A,panel
b0722,b2283,sdhD,nuoG,0.25,True,25.28766870920758,44.71243914987446,31.204061801320098,73.67331397102006,9792.82985718344,False,A,panel
b0722,b2283,sdhD,nuoG,0.125,True,12.65818333724153,22.344050610270962,15.601971051303533,36.8273855513346,9792.82985718344,False,A,panel
b0722,b2283,sdhD,nuoG,0.0625,True,6.339330477065549,11.159856340468586,7.800948157224807,18.404421341492885,9792.82985718344,False,A,panel
b0722,b2283,sdhD,nuoG,0.03125,True,3.1858205701584197,5.567759205568516,3.9004587324490148,9.19276785781257,9792.82985718344,False,A,panel
b0722,b2282,sdhD,nuoH,1.0,True,101.28580689036127,178.92277038749427,124.81676294043336,294.7488844891265,9792.82985718344,False,A,panel
b0722,b2282,sdhD,nuoH,0.5,True,50.561920401752744,89.44921622908122,62.40825267498162,147.3651708103887,9792.82985718344,False,A,panel
b0722,b2282,sdhD,nuoH,0.25,True,25.28766870920758,44.71243914987446,31.204061801320098,73.67331397102006,9792.82985718344,False,A,panel
b0722,b2282,sdhD,nuoH,0.125,True,12.65818333724153,22.344050610270962,15.601971051303533,36.8273855513346,9792.82985718344,False,A,panel
b0722,b2282,sdhD,nuoH,0.0625,True,6.339330477065549,11.159856340468586,7.800948157224807,18.404421341492885,9792.82985718344,False,A,panel
b0722,b2282,sdhD,nuoH,0.03125,True,3.1858205701584197,5.567759205568516,3.9004587324490148,9.19276785781257,9792.82985718344,False,A,panel
b0733,b0978,cydA,appC,1.0,True,1.4028960662481634e-11,2.863199319461465e-14,3.183407394159877e-11,1.784808633695501e-11,0.0,False,ISO,panel
b0733,b0978,cydA,appC,0.5,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b0733,b0978,cydA,appC,0.25,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b0733,b0978,cydA,appC,0.125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b0733,b0978,cydA,appC,0.0625,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b0733,b0978,cydA,appC,0.03125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b3617,b1857,kbl,znuA,1.0,True,2.5884683135757e-12,9.421850506816792e-13,2.998429188281798e-14,2.4674011725408135e-12,0.0,False,B,panel
b3617,b1857,kbl,znuA,0.5,True,3.976571676111984e-14,1.0961913305073095e-12,2.863199319461465e-14,1.0961913305073095e-12,0.0,False,B,panel
b3617,b1857,kbl,znuA,0.25,True,3.976571676111984e-14,1.0961913305073095e-12,2.863199319461465e-14,1.0961913305073095e-12,0.0,False,B,panel
b3617,b1857,kbl,znuA,0.125,True,2.1186571830655984e-13,6.046951598586519e-11,2.863199319461465e-14,6.046951598586519e-11,0.0,False,B,panel
b3617,b1857,kbl,znuA,0.0625,True,2.1186571830655984e-13,6.046951598586519e-11,2.863199319461465e-14,6.046951598586519e-11,0.0,False,B,panel
b3617,b1857,kbl,znuA,0.03125,True,2.1186571830655984e-13,6.046951598586519e-11,2.863199319461465e-14,6.046951598586519e-11,0.0,False,B,panel
b3011,b2988,yqhD,gss,1.0,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b3011,b2988,yqhD,gss,0.5,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b3011,b2988,yqhD,gss,0.25,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b3011,b2988,yqhD,gss,0.125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b3011,b2988,yqhD,gss,0.0625,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b3011,b2988,yqhD,gss,0.03125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b4015,b0341,aceA,cynX,1.0,True,1.4872434457336185e-14,4.4228865285584284e-14,2.863199319461465e-14,4.4228865285584284e-14,0.0,False,B,panel
b4015,b0341,aceA,cynX,0.5,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b4015,b0341,aceA,cynX,0.25,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b4015,b0341,aceA,cynX,0.125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b4015,b0341,aceA,cynX,0.0625,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b4015,b0341,aceA,cynX,0.03125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b3626,b4101,waaJ,phnG,1.0,True,2.2647682340615205e-14,4.6382442318813606e-14,2.863199319461465e-14,4.6382442318813606e-14,0.0,False,B,panel
b3626,b4101,waaJ,phnG,0.5,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b3626,b4101,waaJ,phnG,0.25,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b3626,b4101,waaJ,phnG,0.125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b3626,b4101,waaJ,phnG,0.0625,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b3626,b4101,waaJ,phnG,0.03125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b2242,b2601,glpB,aroF,1.0,True,9.643742510286046e-14,4.783250021983421e-12,2.863199319461465e-14,4.783250021983421e-12,0.0,False,B,panel
b2242,b2601,glpB,aroF,0.5,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b2242,b2601,glpB,aroF,0.25,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b2242,b2601,glpB,aroF,0.125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b2242,b2601,glpB,aroF,0.0625,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b2242,b2601,glpB,aroF,0.03125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b2280,b2286,nuoJ,nuoC,1.0,True,0.0,124.81676294043336,124.81676294043336,124.81676294043338,-3294.285861140926,False,A,panel
b2280,b2286,nuoJ,nuoC,0.5,True,0.0,62.40825267498162,62.40825267498162,62.40825267498166,-3294.285861140926,False,A,panel
b2280,b2286,nuoJ,nuoC,0.25,True,0.0,31.204061801320098,31.204061801320098,31.20406180131957,-3294.285861140926,False,A,panel
b2280,b2286,nuoJ,nuoC,0.125,True,0.0,15.601971051303533,15.601971051303533,15.60197105131104,-3294.285861140926,False,A,panel
b2280,b2286,nuoJ,nuoC,0.0625,True,0.0,7.800948157224807,7.800948157224807,7.8009481572247505,-3294.285861140926,False,A,panel
b2280,b2286,nuoJ,nuoC,0.03125,True,0.0,3.9004587324490148,3.9004587324490148,3.9004587324489464,-3294.285861140926,False,A,panel
