gene_bnumber,TB0_declared,TB1_fresh_seed_same_family,TB2_lognormal_family,TB3_absflux_rule,TB4_adversarial_max
b4383,0.000281370200493367,0.000281370200493367,0.000281370200493367,0.0002810852953681886,0.00028137020049332146
b4094,0.0,0.0,0.0,0.0,0.0
b0728,1.2643859438579428,1.2643859438634761,1.264385943863302,1.2643859438707938,1.2644372206490413
b0729,1.2643859438579428,1.2643859438634761,1.264385943863302,1.2643859438707938,1.2644372206490413
b3956,1.2372587723515611,1.2372587723508897,1.2372587723498203,1.2372587723502928,1.2372692129354999
b0928,1.2240143049255976,1.224014304928383,1.2240143049259986,1.2240143049262753,1.2240143049435996
b1207,0.3900267594094685,0.39002675941094667,0.39002675940873255,0.39002705234409185,0.3900267594172595
b3844,0.9138845580333195,0.9138845580333195,0.9138845580333195,0.9138845580333195,0.9138845580333195
b4090,0.9092169988142178,0.9092169988128811,0.909216998813293,0.9092169988125842,0.9092195315612368
b2914,0.9092169988142178,0.9092169988128811,0.909216998813293,0.9092169988125842,0.9092195315612368
b4301,0.8783849377135822,0.8783849377157559,0.878384937715424,0.8783849377175488,0.8783900030581933
b3386,0.8783849377135822,0.8783849377157559,0.878384937715424,0.8783849377175488,0.8783900030581933
b3870,0.7569882697982837,0.7569882698010302,0.7569882697972719,0.7569882697953787,0.7569882698136869
b1297,0.7569882697982837,0.7569882698010302,0.7569882697972719,0.7569882697953787,0.7569882698136869
b2913,0.7183395851586432,0.7183395851605145,0.7183395851577836,0.7183395851576935,0.7184020487311946
b4388,0.7183395851586432,0.7183395851605145,0.7183395851577836,0.7183395851576935,0.7184020487311946
b0907,0.7183395851586432,0.7183395851605145,0.7183395851577836,0.7183395851576935,0.7184020487311946
b2465,0.5189088692849896,0.5189088692860139,0.5189088692857423,0.5189088692866985,0.518911401969507
b2464,0.0,2.9338277915402777e-07,0.0,0.0,0.0
b2935,0.5189088692849896,0.5189088692860139,0.5189088692857423,0.5189088692866985,0.518911401969507
b0008,0.0,2.9338277915402777e-07,0.0,0.0,0.0
b2551,0.46636399990867394,0.4663639999102446,0.46636399990751054,0.4663639999047695,0.4664264635226626
b3433,0.4469630437781016,0.4469630437781016,0.4469630437781016,0.4469630437781016,0.4469630437781016
b0002,0.4469630437781016,0.4469630437781016,0.4469630437781016,0.4469630437781016,0.4469630437781016
b4024,0.4469630437781016,0.4469630437781016,0.4469630437781016,0.4469630437781016,0.4469630437781016
b3940,0.4469630437781016,0.4469630437781016,0.4469630437781016,0.4469630437781016,0.4469630437781016
b2290,0.24305535553943308,0.24305535553943308,0.24305535553943308,0.24305535553943308,0.24305535553943308
b2379,0.24305535553943308,0.24305535553943308,0.24305535553943308,0.24305535553943308,0.24305535553943308
b0529,0.41338466689874875,0.41338466689989506,0.4133846668955865,0.4133846668911917,0.4135095942283672
b3493,0.40329631188719395,0.40329631188459203,0.403296311890315,0.40329631186938464,0.4032963119103252
