gene_bnumber,kappa_mu,kappa_vg_all,kappa_vg_int,kappa_dual,kappa_c,kappa_v_lex,n_rxns,kappa_V_E22
b0722,0.49470031685166216,0.49470031685166216,0.0,0.0,0.0,1.9977828854373192,1,2.3874690515788184
b0723,0.49470031685166216,0.49470031685166216,0.0,0.0,0.0,1.9977828854373192,1,2.3874690515788184
b0724,0.49470031685166216,0.49470031685166216,0.0,0.0,0.0,1.9977828854373192,1,2.3874690515788184
b0721,0.49470031685166216,0.49470031685166216,0.0,0.0,0.0,1.9977828854373192,1,2.3874690515788184
b0726,0.49460708422951694,0.49460708422951694,0.0,0.0,0.0,1.9970299407589043,1,1.997029940758318
b0727,0.49460708422951694,0.49460708422951694,0.0,0.0,0.0,1.9970299407589043,1,1.997029940758318
b3380,9.379006682296194e-05,9.379006682296194e-05,0.0,0.0,0.0,7.180878885313249e-08,1,1.6318250334497593
b4383,9.379006682296194e-05,9.379006682296194e-05,0.0,0.0,0.0,7.180878885313249e-08,2,1.6318250334497593
b4094,0.0,0.0,0.0,0.0,0.0,0.0,1,1.631140475784241
b0728,0.42146198100113974,0.42146198100113974,0.0,0.0,0.0,1.4500424604641668,1,1.450042460463684
b0729,0.42146198100113974,0.42146198100113974,0.0,0.0,0.0,1.4500424604641668,1,1.450042460463684
b3956,0.4124195907474828,0.4124195907474828,0.0,0.0,0.0,1.388489133301982,1,1.3884891333019085
b0928,0.4080047682705006,0.4080047682705006,0.0,0.0,0.0,1.3589215586028878,3,1.3589215586029115
b1207,0.13000891978979867,0.13000891978979867,0.0,0.0,0.0,0.13797811611964653,1,0.8203052488796222
b3844,0.3046281859846096,0.3046281859846096,0.0,0.039402711508998545,0.0,0.7575374015895971,6,0.7575374015895484
b4090,0.30307233292282687,0.30307233292282687,0.0,0.0,0.0,0.7498190937323393,2,0.7498190937323724
b2914,0.30307233292282687,0.30307233292282687,0.0,0.0,0.0,0.7498190937323393,1,0.7498190937323724
b4301,0.2927949791795217,0.2927949791795217,0.0,0.0,0.0,0.6998277537090769,1,0.69982775370912
b3386,0.2927949791795217,0.2927949791795217,0.0,0.0,0.0,0.6998277537090769,1,0.69982775370912
b3870,0.2523294232399951,0.2523294232399951,0.0,0.0,0.0,0.5197562271973369,1,0.5197562271973608
b1297,0.2523294232399951,0.2523294232399951,0.0,0.0,0.0,0.5197562271973369,2,0.5197562271973608
b2913,0.23944652836296498,0.23944652836296498,0.0,0.0,0.0,0.46803787709544475,1,0.4680378770954553
b4388,0.23944652836296498,0.23944652836296498,0.0,0.0,0.0,0.46803787709544475,1,0.4680378770954553
b0907,0.23944652836296498,0.23944652836296498,0.0,0.0,0.0,0.46803787709544475,2,0.4680378770954553
