gene,kappa_mu,kappa_vg_all,kappa_vg_int,kappa_dual_int,kappa_dual_all,kappa_c,kappa_v_lex,n_rxns
b0171,0.13387730122099772,0.13387730122099772,0.13387730122099772,0.0,0.0,0.0,0.015671882018659922,1
b0910,0.13387730122099772,0.13387730122099772,0.13387730122099772,0.0,0.0,0.0,0.015671882018659922,3
b2472,0.13136647544466795,0.13136647544466795,0.13136647544466795,0.0,0.0,0.0,0.015089552189367764,1
b3359,0.13136647544466795,0.13136647544466795,0.13136647544466795,0.0,0.0,0.0,0.015089552189367764,2
b3809,0.13136647544466795,0.13136647544466795,0.13136647544466795,0.0,0.0,0.0,0.015089552189367764,1
b0031,0.13136647544466795,0.13136647544466795,0.13136647544466795,0.0,0.0,0.0,0.015089552189367764,1
b0166,0.13136647544466795,0.13136647544466795,0.13136647544466795,0.0,0.0,0.0,0.015089552189367764,1
b2478,0.13136647544466795,0.13136647544466795,0.13136647544466795,0.0,0.0,0.0,0.015089552189367764,1
b0221,0.12602999679537952,0.12602999679537952,0.12602999679537952,0.0,0.0,0.0,0.013888492414529005,8
b3846,0.12602999679537952,0.12602999679537952,0.12602999679537952,0.0,0.0,0.0,0.013888492414529005,19
b2341,0.12602999679537952,0.12602999679537952,0.12602999679537952,0.0,0.0,0.0,0.013888492414529005,16
b2342,0.12602999679537952,0.12602999679537952,0.12602999679537952,0.0,0.0,0.0,0.013888492414529005,8
b3845,0.12602999679537952,0.12602999679537952,0.12602999679537952,0.0,0.0,0.0,0.013888492414529005,8
b2224,0.12602999679537952,0.12602999679537952,0.12602999679537952,0.0,0.0,0.0,0.013888492414529005,1
b2838,0.12152573825530588,0.12152573825530588,0.12152573825530588,0.0,0.0,0.0,0.012913494788806495,1
b4244,0.11714648979972919,0.11714648979972919,0.11714648979972919,0.0,0.0,0.0,0.011999573637832084,1
b4245,0.11714648979972919,0.11714648979972919,0.11714648979972919,0.0,0.0,0.0,0.011999573637832084,1
b3642,0.11714648979972919,0.11714648979972919,0.11714648979972919,0.0,0.0,0.0,0.011999573637832084,1
b1062,0.11714648979972919,0.11714648979972919,0.11714648979972919,0.0,0.0,0.0,0.011999573637832084,1
b1281,0.11714648979972919,0.11714648979972919,0.11714648979972919,0.0,0.0,0.0,0.011999573637832084,1
b2599,0.11452198629784549,0.11452198629784549,0.11452198629784549,0.0,0.0,0.0,0.01146792910273017,2
b2600,0.11452198629784549,0.11452198629784549,0.11452198629784549,0.0,0.0,0.0,0.01146792910273017,2
b4177,0.10589983183054708,0.10589983183054708,0.10589983183054708,0.0,0.0,0.0,0.00980613338732772,1
b3960,0.10475065980695364,0.10475065980695364,0.10475065980695364,0.0,0.0,0.0,0.009594465596526767,1
b2818,0.10475065980695364,0.10475065980695364,0.10475065980695364,0.0,0.0,0.0,0.009594465596526767,1
b4254,0.10475065980695364,0.10475065980695364,0.10475065980695364,0.0,0.0,0.0,0.009594465596526767,1
b3957,0.10475065980695364,0.10475065980695364,0.10475065980695364,0.0069356640371717945,0.0069356640371717945,0.0,0.009594465596526767,2
b0273,0.10475065980695364,0.10475065980695364,0.10475065980695364,0.0,0.0,0.0,0.009594465596526767,1
b1748,0.10475065980695364,0.10475065980695364,0.10475065980695364,0.0,0.0,0.0,0.009594465596526767,2
b3959,0.10475065980695364,0.10475065980695364,0.10475065980695364,0.0,0.0,0.0,0.009594465596526767,1
b3172,0.10475065980695364,0.10475065980695364,0.10475065980695364,0.0,0.0,0.0,0.009594465596526767,1
b3958,0.10475065980695364,0.10475065980695364,0.10475065980695364,0.0,0.0,0.0,0.009594465596526767,1
b3772,0.10288684089851707,0.10288684089851707,0.10288684089851707,0.0,0.0,0.0,0.009256076187792802,1
b3117,0.10288684089851707,0.10288684089851707,0.10288684089851707,0.0,0.0,0.0,0.009256076187792802,1
b1206,0.0893166952111486,0.0893166952111486,0.0893166952111486,0.0,0.0,0.0,0.006975455081804286,1
b3781,0.08778045230315046,0.08778045230315046,0.08778045230315046,0.028779569609453187,0.028779569609453187,0.0,0.0067375636979805946,10
b0888,0.08778045230315046,0.08778045230315046,0.08778045230315046,0.0,0.0,0.0,0.0067375636979805946,1
b2582,0.08778045230315046,0.08778045230315046,0.08778045230315046,0.028779569609453187,0.028779569609453187,0.0,0.0067375636979805946,10
b3607,0.08778045230315046,0.08778045230315046,0.08778045230315046,0.0,0.0,0.0,0.0067375636979805946,1
b2421,0.08778045230315046,0.08778045230315046,0.08778045230315046,0.0,0.0,0.0,0.0067375636979805946,1
b2414,0.08778045230315046,0.08778045230315046,0.08778045230315046,0.0,0.0,0.0,0.0067375636979805946,1
b2764,0.08778045230315046,0.08778045230315046,0.08778045230315046,0.01513158326832359,0.01513158326832359,0.0,0.0067375636979805946,4
b2762,0.08778045230315046,0.08778045230315046,0.08778045230315046,0.0,0.0,0.0,0.0067375636979805946,2
b4214,0.08778045230315046,0.08778045230315046,0.08778045230315046,0.0,0.0,0.0,0.0067375636979805946,1
b2763,0.08778045230315046,0.08778045230315046,0.08778045230315046,0.01513158326832359,0.01513158326832359,0.0,0.0067375636979805946,4
b2750,0.08778045230315046,0.08778045230315046,0.08778045230315046,0.0,0.0,0.0,0.0067375636979805946,1
b2751,0.08778045230315046,0.08778045230315046,0.08778045230315046,0.0,0.0,0.0,0.0067375636979805946,1
b2752,0.08778045230315046,0.08778045230315046,0.08778045230315046,0.0,0.0,0.0,0.0067375636979805946,1
b2507,0.0863086621866449,0.0863086621866449,0.0863086621866449,0.0,0.0,0.0,0.006513524115852185,1
b3648,0.0863086621866449,0.0863086621866449,0.0863086621866449,0.0,0.0,0.0,0.006513524115852185,2
b2508,0.0863086621866449,0.0863086621866449,0.0863086621866449,0.0,0.0,0.0,0.006513524115852185,1
b3744,0.08536630571403236,0.08536630571403236,0.08536630571403236,0.0,0.0,0.0,0.006372065485672662,1
b0242,0.07828358138024694,0.07828358138024694,0.07828358138024694,0.0,0.0,0.0,0.005358566532338583,1
b0243,0.07828358138024694,0.07828358138024694,0.07828358138024694,0.0,0.0,0.0,0.005358566532338583,1
b0386,0.07828358138024694,0.07828358138024694,0.07828358138024694,0.0,0.0,0.0,0.005358566532338583,1
