gene_bnumber,kappa_mu_max,kappa_mu_sum,kappa_mu_own,kappa_v_lex,n_rxns,kappa_V_E22
b2472,0.15508765899378996,0.15508765899378996,0.15508765899378996,0.021816038065835677,1,0.0218160380658343
b3359,0.15508765899378996,0.2787534158204405,0.15508765899378996,0.021816038065835677,2,0.0218160380658343
b3809,0.15508765899378996,0.15508765899378996,0.15508765899378996,0.021816038065835677,1,0.0218160380658343
b0031,0.15508765899378996,0.15508765899378996,0.15508765899378996,0.021816038065835677,1,0.0218160380658343
b0166,0.15508765899378996,0.15508765899378996,0.15508765899378996,0.021816038065835677,1,0.0218160380658343
b2478,0.15508765899378996,0.15508765899378996,0.15508765899378996,0.021816038065835677,1,0.0218160380658342
b0221,0.14878755862047988,0.9135475827264041,0.14878755862047988,0.020079580585958396,8,0.0200795805859571
b3846,0.14878755862047988,2.015769563015144,0.14878755862047988,0.020079580585958396,19,0.0200795805859571
b2341,0.14878755862047988,1.9528780971610276,0.14878755862047988,0.020079580585958396,16,0.0200795805859571
b2342,0.14878755862047988,0.9764390485805138,0.14878755862047988,0.020079580585958396,8,0.0200795805859571
b3845,0.14878755862047988,0.9764390485805138,0.14878755862047988,0.020079580585958396,8,0.0200795805859571
b2224,0.14878755862047988,0.14878755862047988,0.14878755862047988,0.020079580585958396,1,0.020079580585957
b2838,0.14346995448961264,0.14346995448961264,0.14346995448961264,0.018669957222062338,1,0.0186699572220611
b4244,0.13829993383684897,0.13829993383684897,0.13829993383684897,0.01734863645862187,1,0.0173486364586207
b4245,0.13829993383684897,0.13829993383684897,0.13829993383684897,0.01734863645862187,1,0.0173486364586207
b3642,0.13829993383684897,0.13829993383684897,0.13829993383684897,0.01734863645862187,1,0.0173486364586207
b1062,0.13829993383684897,0.13829993383684897,0.13829993383684897,0.01734863645862187,1,0.0173486364586207
b1281,0.13829993383684897,0.13829993383684897,0.13829993383684897,0.01734863645862187,1,0.0173486364586207
b2599,0.13520151696338242,0.2126577579654711,0.13520151696338242,0.01658000016844427,2,0.0165800001684432
b2600,0.13520151696338242,0.1929467929246715,0.13520151696338242,0.01658000016844427,2,0.0165800001684432
b4177,0.12502243782059796,0.12502243782059796,0.12502243782059796,0.01417742399322696,1,0.0141774239932306
b3960,0.12366575682665054,0.12366575682665054,0.12366575682665054,0.013871400824118744,1,0.0138714008241178
b2818,0.12366575682665054,0.12366575682665054,0.12366575682665054,0.013871400824118744,1,0.0138714008241178
b4254,0.12366575682665054,0.12366575682665054,0.12366575682665054,0.013871400824118744,1,0.0138714008241178
b3957,0.12366575682665054,0.12366575682665054,0.12366575682665054,0.013871400824118744,2,0.0138714008241178
b0273,0.12366575682665054,0.12366575682665054,0.12366575682665054,0.013871400824118744,1,0.0138714008241178
b1748,0.12366575682665054,0.12366575682665054,0.12366575682665054,0.013871400824118744,2,0.0138714008241178
b3959,0.12366575682665054,0.12366575682665054,0.12366575682665054,0.013871400824118744,1,0.0138714008241178
b3172,0.12366575682665054,0.12366575682665054,0.12366575682665054,0.013871400824118744,1,0.0138714008241178
b3958,0.12366575682665054,0.12366575682665054,0.12366575682665054,0.013871400824118744,1,0.0138714008241178
b3772,0.12146538332710646,0.12146538332710646,0.12146538332710646,0.01338216720542876,1,0.0133821672054278
b3117,0.12146538332710646,0.12146538332710646,0.12146538332710646,0.01338216720542876,1,0.0133821672054278
b1206,0.10544484140622987,0.10544484140622987,0.10544484140622987,0.010084911181021958,1,0.0100849111810213
b3781,0.10363119515104394,0.20726239030208787,0.10363119515104394,0.009740974699680334,10,0.0097409746996797
b0888,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.009740974699680334,1,0.0097409746996797
b2582,0.10363119515104394,0.20726239030208787,0.10363119515104394,0.009740974699680334,10,0.0097409746996797
b3607,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.009740974699680334,1,0.0097409746996797
b2421,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.009740974699680334,1,0.0097409746996797
b2414,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.009740974699680334,1,0.0097409746996797
b2764,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.009740974699680334,4,0.0097409746996797
b2762,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.009740974699680334,2,0.0097409746996797
b4214,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.009740974699680334,1,0.0097409746996797
b2763,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.009740974699680334,4,0.0097409746996797
b2750,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.009740974699680334,1,0.0097409746996797
b2751,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.009740974699680334,1,0.0097409746996797
b2752,0.10363119515104394,0.10363119515104394,0.10363119515104394,0.009740974699680334,1,0.0097409746996797
b2507,0.10189364009436017,0.10189364009436017,0.10189364009436017,0.009417064752544103,1,0.0094170647525435
b3648,0.10189364009436017,0.10189364009436017,0.10189364009436017,0.009417064752544103,2,0.0094170647525435
b2508,0.10189364009436017,0.10189364009436017,0.10189364009436017,0.009417064752544103,1,0.0094170647525435
b3744,0.10078111988102575,0.10078111988102575,0.10078111988102575,0.009212547956948817,1,0.0092125479569482
b0242,0.09241944973263691,0.09241944973263691,0.09241944973263691,0.007747260487304744,1,0.0077472604873042
b0243,0.09241944973263691,0.09241944973263691,0.09241944973263691,0.007747260487304744,1,0.0077472604873042
b0386,0.09241944973263691,0.09241944973263691,0.09241944973263691,0.007747260487304744,1,0.0077472604873042
b3290,0.08160697406375234,0.08160697406375234,0.08160697406375234,0.006040542598250309,1,0.0060405425982499
b3849,0.08160697406375234,0.08160697406375234,0.08160697406375234,0.006040542598250309,1,0.0060405425982499
b1291,0.08160697406375234,0.08160697406375234,0.08160697406375234,0.006040542598250309,1,0.0060405425982499
b1363,0.08160697406375234,0.08160697406375234,0.08160697406375234,0.006040542598250309,1,0.0060405425982499
b1250,0.08160697406375234,0.08160697406375234,0.08160697406375234,0.006040542598250309,1,0.0060405425982499
b3747,0.08160697406375234,0.08160697406375234,0.08160697406375234,0.006040542598250309,1,0.0060405425982499
b2780,0.06711285502851726,0.06711285502851726,0.06711285502851726,0.004085383500427105,1,0.0040853835004268
b4019,0.06453495212177898,0.06453495212177898,0.06453495212177898,0.0037775601311253524,1,0.0037775601311251
b3941,0.06453495212177898,0.06453495212177898,0.06453495212177898,0.0037775601311253524,1,0.0037775601311251
b3829,0.06453495212177898,0.06453495212177898,0.06453495212177898,0.0037775601311253524,1,0.0037775601311251
b3939,0.06434765071045714,0.06434765071045714,0.06434765071045714,0.00375566453620383,1,0.0037556645362035
b1622,0.06434765071045714,0.06434765071045714,0.06434765071045714,0.00375566453620383,1,0.0037556645362035
b3008,0.06434765071045714,0.06434765071045714,0.06434765071045714,0.00375566453620383,2,0.0037556645362035
b4013,0.06434765071045714,0.06434765071045714,0.06434765071045714,0.00375566453620383,1,0.0037556645362035
b0452,0.0628914658541163,0.1487875586204875,0.0628914658541163,0.003587606781427997,10,0.0035876067814277
b1094,0.0628914658541163,0.25571994114618357,0.0628914658541163,0.003587606781427997,26,0.0035876067814277
b2836,0.0628914658541163,0.1487875586204875,0.0628914658541163,0.003587606781427997,23,0.0035876067814277
b3608,0.0581253138695286,0.0581253138695286,0.0581253138695286,0.003064446359897239,1,0.003064446359897
b2895,0.04546867184941805,0.09093734369883649,0.04546867184941805,0.001875192852023104,7,0.0018751928520229
b1378,0.04546867184941805,0.04546867184941805,0.04546867184941805,0.001875192852023104,1,0.0018751928520229
b0684,0.04546867184941805,0.09093734369883649,0.04546867184941805,0.001875192852023104,7,0.0018751928520229
b2026,0.03960839532591866,0.07921679065183732,0.03960839532591866,0.0014229705033965896,2,0.0014229705033964
b2023,0.03960839532591866,0.03960839532591866,0.03960839532591866,0.0014229705033965896,1,0.0014229705033964
b2025,0.03960839532591866,0.03960839532591866,0.03960839532591866,0.0014229705033965896,1,0.0014229705033964
b2021,0.03960839532591866,0.03960839532591866,0.03960839532591866,0.0014229705033965896,1,0.0014229705033964
b2024,0.03960839532591866,0.03960839532591866,0.03960839532591866,0.0014229705033965896,1,0.0014229705033964
b2020,0.03960839532591866,0.03960839532591866,0.03960839532591866,0.0014229705033965896,1,0.0014229705033964
b2022,0.03960839532591866,0.07921679065183732,0.03960839532591866,0.0014229705033965896,2,0.0014229705033964
b2019,0.03960839532591866,0.03960839532591866,0.03960839532591866,0.0014229705033965896,1,0.0014229705033964
b3176,0.03950387444906306,0.03950387444906306,0.03950387444906306,0.0014154703820312528,1,0.0014154703820311
b3729,0.03950387444906306,0.03950387444906306,0.03950387444906306,0.0014154703820312528,1,0.0014154703820311
b3730,0.03950387444906306,0.07900774889812612,0.03950387444906306,0.0014154703820312528,2,0.0014154703820311
b0185,0.032539439382468914,0.032539439382468914,0.032539439382468914,0.0009603765216536604,1,0.0009603765216535
b2316,0.032539439382468914,0.032539439382468914,0.032539439382468914,0.0009603765216536604,1,0.0009603765216535
b3256,0.032539439382468914,0.032539439382468914,0.032539439382468914,0.0009603765216536604,1,0.0009603765216535
b3255,0.032539439382468914,0.032539439382468914,0.032539439382468914,0.0009603765216536604,1,0.0009603765216535
b1092,0.03253860321545326,0.03253860321545326,0.03253860321545326,0.000960327164635429,1,0.0009603271646353
b1093,0.0325369308814237,0.03253860321545337,0.0325369308814237,0.0009602284544040017,14,0.0009602284544039
