gene,kappa_mu,kappa_vg_all,kappa_vg_int,kappa_dual_int,kappa_dual_all,kappa_c,kappa_v_lex,n_rxns
b4261,0.0027114109065491457,0.0027114109065491457,0.0,0.0,4.440892098500626e-16,0.0,6.0014278400250104e-05,9
b3200,0.0027114109065491457,0.0027114109065491457,0.0,0.0,4.440892098500626e-16,0.0,6.0014278400250104e-05,9
b3201,0.0027114109065491457,0.0027114109065491457,0.0,0.0,4.440892098500626e-16,0.0,6.0014278400250104e-05,9
b4262,0.0027114109065491457,0.0027114109065491457,0.0,0.0,4.440892098500626e-16,0.0,6.0014278400250104e-05,9
b3633,0.0027114109065491457,0.0027114109065491457,0.0,0.0,0.0,0.0,6.0014278400250104e-05,2
b3199,0.0027114109065491457,0.0027114109065491457,0.0,0.0,4.440892098500626e-16,0.0,6.0014278400250104e-05,9
b0915,0.0027114109065491457,0.0027114109065491457,0.0,0.0,0.0,0.0,6.0014278400250104e-05,1
b0182,0.0027114109065491457,0.0027114109065491457,0.0,0.0,0.0,0.0,6.0014278400250104e-05,1
b0524,0.0027114109065491457,0.0027114109065491457,0.0,0.0,0.0,0.0,6.0014278400250104e-05,1
b3040,0.002238279737360613,0.002238279737360613,0.0,0.0,0.0,0.0,4.0897111694650956e-05,6
b0149,0.0019362840838606996,0.0019362840838606996,0.0,0.0,0.0,0.0,3.0605682068159516e-05,5
b1069,0.0019362840838606996,0.0019362840838606996,0.0,0.0,0.0,0.0,3.0605682068159516e-05,2
b0635,0.0019362840838606996,0.0019362840838606996,0.0,0.0,0.0,0.0,3.0605682068159516e-05,2
b3396,0.0019362840838606996,0.0019362840838606996,0.0,0.0,0.0,0.0,3.0605682068159516e-05,5
b2519,0.0019362840838606996,0.0019362840838606996,0.0,0.0,0.0,0.0,3.0605682068159516e-05,2
b0084,0.0019362840838606996,0.0019362840838606996,0.0,0.0,0.0,0.0,3.0605682068159516e-05,2
b4208,0.0019362840838606996,0.0019362840838606996,0.0,0.0,0.0,0.0,3.0605682068159516e-05,5
b4209,0.0010881320085493196,0.0010881320085493196,0.0,0.0,0.0,0.0,9.665561371508421e-06,1
b0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
b3196,0.000725374885309835,0.000725374885309835,0.0,0.0,0.0,0.0,4.295254891669085e-06,1
b2400,0.0004972406514477399,0.0004972406514477399,0.0,0.0,0.0,0.0,2.0183531873309524e-06,1
b0154,0.0004972406514477399,0.0004972406514477399,0.0,0.0,0.0,0.0,2.0183531873309524e-06,1
b1210,0.0004972406514477399,0.0004972406514477399,0.0,0.0,0.0,0.0,2.0183531873309524e-06,1
b0420,0.0003950889144771737,0.0003950889144771737,0.0,0.0,0.0,0.0,1.2742469415518203e-06,1
b0155,0.0003626874426549175,0.0003626874426549175,0.0,0.0,0.0,0.0,1.0738137229172713e-06,1
b1592,0.0003626874426549175,0.0003626874426549175,0.0,0.0,0.0,0.0,1.0738137229172713e-06,1
b1849,0.08118847250816241,0.08118847250816241,0.0,0.0,0.0,0.0,0.053808718867181346,2
b0029,0.0002941914280286881,0.0002941914280286881,0.0,0.0,0.0,0.0,7.065191536659936e-07,2
b1208,0.00033293383304620243,0.00033293383304620243,0.0,0.0,0.0,0.0,9.04856630081215e-07,1
b2746,0.00033293383304620243,0.00033293383304620243,0.0,0.0,0.0,0.0,9.04856630081215e-07,1
b2515,0.00033293383304620243,0.00033293383304620243,0.0,0.0,0.0,0.0,9.04856630081215e-07,1
