gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,bnum,keio_call,PEC,MG_Tn5,Score
b0062,,1,16,15.44424150377654,15.444241503776542,-1.7763568394002505e-15,0,1385580.4192263882,b0062,u,,,
b0153,,5,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b0153,N,,,
b0151,,5,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b0151,N,,,
b0152,,5,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b0152,N,,,
b2715,,1,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b2715,N,,,
b3722,,1,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b3722,N,,,
b1900,,1,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b1900,N,,,
b1901,,1,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b1901,N,,,
b2841,,1,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b2841,N,,,
b1528,,3,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b1528,N,,,
b4115,,1,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b4115,N,,,
b4117,,1,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b4117,N,,,
b2938,,1,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b2938,N,,,
b1605,,1,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b1605,N,,,
b3960,,1,452,15.44424150377654,-5.818575907299493e-15,15.444241503776546,1,2729497.731396201,b3960,N,,,
b3172,,1,452,15.44424150377654,0.0,15.44424150377654,1,2729497.731396192,b3172,N,,,
b1876,,1,16,15.44424150377654,15.44424150377656,-1.9539925233402755e-14,0,1385580.419226389,b1876,E,E,u,3
b2310,,3,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b2310,N,,,
b0863,,1,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b0863,N,,,
b0860,,1,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b0860,N,,,
b2307,,4,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b2307,N,,,
b2308,,4,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b2308,N,,,
b0862,,1,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b0862,N,,,
b2306,,4,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b2306,N,,,
b0864,,1,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b0864,N,,,
b0861,,1,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b0861,N,,,
b2923,,2,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b2923,N,,,
b3433,,1,452,15.44424150377654,0.0,15.44424150377654,1,2729497.731396201,b3433,E,N,u,1
b4192,,1,16,15.44424150377654,15.444241503776553,-1.2434497875801752e-14,0,1385580.419226389,b4192,N,,,
b4194,,1,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b4194,N,,,
b4195,,1,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b4195,N,,,
b1767,,1,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b1767,N,,,
b0828,,1,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b0828,N,,,
b2957,,2,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b2957,N,,,
b0674,,1,16,15.44424150377654,15.44424150377642,1.1901590823981678e-13,0,1385580.4192263829,b0674,N,,,
b3744,,1,434,15.44424150377654,15.39647633619317,0.0477651675833712,0,1386724.7650262385,b3744,N,,,
b0930,,1,16,15.44424150377654,15.444241503776396,1.4388490399142031e-13,0,1385580.4192263817,b0930,E,E,u,3
b0131,,1,452,15.44424150377654,-3.547829062791696e-13,15.444241503776896,1,2729497.731396268,b0131,N,,,
b4245,,1,452,15.44424150377654,4.2295531452666e-26,15.44424150377654,1,2729497.731396174,b4245,N,,,
b4244,,1,452,15.44424150377654,0.0,15.44424150377654,1,2729497.731396211,b4244,N,,,
b0002,,2,452,15.44424150377654,0.0,15.44424150377654,1,2729497.731396211,b0002,N,,,
