dimension,profile,starting_set,lambda,n_iter,final_distance,fitted_q,r2,valid_fit,verdict
2,k=7 rotated,random 27,0.0,40,0.000000e+00,1.000000,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
2,k=7 rotated,random 27,0.3,40,4.425919e-22,0.297710,0.999898,True,STRONG-CONVERGED (machine precision; q<1)
2,k=7 rotated,random 27,0.5,40,1.934596e-13,0.500000,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
2,k=7 rotated,random 27,0.7,40,5.792612e-08,0.700000,1.000000,True,"CONFIRMED (q=0.7000, R^2=1.0000)"
2,k=7 rotated,random 27,0.9,40,3.482644e-04,0.900000,1.000000,True,"CONFIRMED (q=0.9000, R^2=1.0000)"
2,k=7 rotated,corners 8,0.0,40,0.000000e+00,1.000000,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
2,k=7 rotated,corners 8,0.3,40,1.418394e-22,0.296760,0.999913,True,STRONG-CONVERGED (machine precision; q<1)
2,k=7 rotated,corners 8,0.5,40,6.421678e-14,0.499997,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
2,k=7 rotated,corners 8,0.7,40,1.929434e-08,0.700000,1.000000,True,"CONFIRMED (q=0.7000, R^2=1.0000)"
2,k=7 rotated,corners 8,0.9,40,1.161296e-04,0.900000,1.000000,True,"CONFIRMED (q=0.9000, R^2=1.0000)"
3,canonical,halton 27,0.0,40,0.000000e+00,0.835500,0.236314,True,STRONG-CONVERGED (machine precision; q<1)
3,canonical,halton 27,0.3,40,0.000000e+00,0.438330,0.898680,True,STRONG-CONVERGED (machine precision; q<1)
3,canonical,halton 27,0.5,40,1.032687e-13,0.510202,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
3,canonical,halton 27,0.7,40,2.163362e-08,0.706251,1.000000,True,"CONFIRMED (q=0.7063, R^2=1.0000)"
3,canonical,halton 27,0.9,40,1.059593e-04,0.902121,1.000000,True,"CONFIRMED (q=0.9021, R^2=1.0000)"
