reaction_id,kappa_V_real,raw_F,fisher_dist,viability_margin,constraint_violation_rate,natural_grad,random_curvature,recovery_margin_erosion,V_traj_final
M23a,0.009062511526128298,0.04680978664415991,0.23904700254484332,0.0233564515773917,0.0,0.021942404309050208,0.038253288217776585,0.0,1.0035333903546337
M23b,0.009062511526128298,0.04680978664415991,0.23904700254484332,0.0233564515773917,0.0,0.021942404309050208,0.053920785699325305,0.0,1.0035333903546337
E1a,0.00825062106479981,0.03565773680800732,0.09073884484543464,0.021728978026058533,0.0,0.013023109929740788,-0.06542545469264509,0.005907256241384995,0.994092743758615
E1b,0.00825062106479981,0.03565773680800732,0.09073884484543464,0.021728978026058533,0.0,0.013023109929740788,-0.022991418078602357,0.005907256241384995,0.994092743758615
E2a,0.06972726242716829,0.23423322378499734,1.2056432229432992,0.18638124382547416,0.0,0.03801476706791086,-0.1171373344065016,0.1510368793491469,0.8489631206508531
E2b,0.06972726242716829,0.23423322378499734,1.2056432229432992,0.18638124382547416,0.0,0.03801476706791086,0.11790687107832172,0.1510368793491469,0.8489631206508531
E3a,0.0,0.06497102277809508,0.13412205496146576,0.134373407952575,0.0,0.01321705046902381,-0.12035087951101511,0.0,1.0688988078554567
E3b,0.0,0.06497102277809508,0.13412205496146576,0.134373407952575,0.0,0.01321705046902381,0.05455156900237695,0.0,1.0688988078554567
E4a,0.010633113941941998,0.10109900797347948,0.6060960542569782,0.0572386321448749,0.0,0.03196243084005857,-0.028074377386873628,0.038872306040647175,0.9611276939593528
E4b,0.010633113941941998,0.10109900797347948,0.6060960542569782,0.0572386321448749,0.0,0.03196243084005857,-0.0026157990259270134,0.038872306040647175,0.9611276939593528
E5a,0.007148686438436794,0.17223832819254725,1.6425897672405285,0.08411480210649644,0.0,0.05342910444379929,-0.021784201976587137,0.0,1.0628702369159888
E5b,0.007148686438436794,0.17223832819254725,1.6425897672405285,0.08411480210649644,0.0,0.05342910444379929,0.13353630820684295,0.0,1.0628702369159888
E6a,0.00823336645027945,0.03615263217731601,0.09119542689739464,0.021968302207906014,0.0,0.013059088831004637,0.044964286417636334,0.004632058852252818,0.9953679411477472
E6b,0.00823336645027945,0.03615263217731601,0.09119542689739464,0.021968302207906014,0.0,0.013059088831004637,0.03712924898779551,0.004632058852252818,0.9953679411477472
E7a,0.008253163436655934,0.03614848201418008,0.09066068098254945,0.021744431451824097,0.0,0.01301638498933232,-0.07533473248606373,0.005038037651239113,0.9949619623487609
