tau,beta,D,L,mdl,sse,kappa_V,abs_err_kappa
0.2,5.0,0.05,16,-86.77926434302184,14.663744572118897,0.9160406529123545,0.6453187240813929
0.2,5.0,0.05,32,-86.77926434302184,14.663744572118897,0.9160406529123545,0.6453187240813929
0.2,5.0,0.1,4,-89.89908403156292,13.776740482995514,0.6153349160230733,0.34461298719211175
0.2,5.0,0.1,8,-82.26512352775296,16.049230555944938,0.966730890104433,0.6960089612734714
0.2,5.0,0.1,16,-82.26512352775296,16.049230555944938,0.966730890104433,0.6960089612734714
0.2,5.0,0.1,32,-82.26512352775296,16.049230555944938,0.966730890104433,0.6960089612734714
0.2,5.0,0.2,4,-84.3845843821979,15.383133637693179,0.6463831595583122,0.3756612307273506
0.2,5.0,0.2,8,-75.13863650127979,18.507770085294933,1.0653847440604869,0.7946628152295253
0.2,5.0,0.2,16,-75.13863650127979,18.507770085294933,1.0653847440604869,0.7946628152295253
0.2,5.0,0.2,32,-75.13863650127979,18.507770085294933,1.0653847440604869,0.7946628152295253
0.2,5.0,0.5,4,-95.17204536598803,12.39784257046421,0.6297332370518167,0.35901130822085514
0.2,5.0,0.5,8,-94.43109915438848,12.582933295718528,1.0849408843705317,0.8142189555395701
0.2,5.0,0.5,16,-94.43109915438848,12.582933295718528,1.0849408843705317,0.8142189555395701
0.2,5.0,0.5,32,-94.43109915438848,12.582933295718528,1.0849408843705317,0.8142189555395701
0.2,10.0,0.05,4,-96.53905651396688,12.063474467358757,0.5691034498074926,0.29838152097653103
0.2,10.0,0.05,8,-99.01665735586455,11.480273692560022,0.7779485575086817,0.5072266286777202
0.2,10.0,0.05,16,-99.01665735586455,11.480273692560022,0.7779485575086817,0.5072266286777202
0.2,10.0,0.05,32,-99.01665735586455,11.480273692560022,0.7779485575086817,0.5072266286777202
0.2,10.0,0.1,4,-95.30484250455707,12.364958298810558,0.5836632583814557,0.31294132955049414
0.2,10.0,0.1,8,-98.07714072172142,11.698031316579401,0.8212967540407824,0.5505748252098208
0.2,10.0,0.1,16,-98.07714072172142,11.698031316579401,0.8212967540407824,0.5505748252098208
0.2,10.0,0.1,32,-98.07714072172142,11.698031316579401,0.8212967540407824,0.5505748252098208
