metabolite,closure_verdict,gene_level_verdict,n_producing_reactions,n_nonessential_gene_backups,n_essential_gene_backups,baseline_prod_flux,recovery_prod_flux
iscu_4fe4s_c,AUTOPOIETIC,AUTOPOIETIC,1,1,0,0.00025541667130901446,0.00025541667130901007
3ohcoa_c,AUTOPOIETIC,AUTOPOIETIC,1,1,0,0.349606480713277,0.34960648071327355
3hhcoa_c,AUTOPOIETIC,AUTOPOIETIC,1,1,0,0.3496064807132795,0.3496064807132744
hco3_c,AUTOPOIETIC,AUTOPOIETIC,1,1,0,0.5165753058633756,0.5165753058634212
3htdcoa_c,AUTOPOIETIC,AUTOPOIETIC,1,1,0,0.27315437675961435,0.2731543767596119
u3hga_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.03822605197683167,0.038226051976832855
prpp_c,AUTOPOIETIC,AUTOPOIETIC,3,2,1,1.242071625139459,1.2420716251394819
3dhq_c,AUTOPOIETIC,AUTOPOIETIC,2,1,1,0.3744005628946945,0.3744005628946945
adp_c,AUTOPOIETIC,AUTOPOIETIC,271,200,71,50.67042016038272,50.66909788792304
2dhp_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.0005658461641310506,0.0005658461641314732
iscssh_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.001773181121972196,0.001773181121972205
lipidX_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.019113025988416087,0.019113025988416
histd_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.0930679407941275,0.09306794079412914
amet_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.0008821698878288143,0.0008821698878288243
3pg_c,AUTOPOIETIC,AUTOPOIETIC,2,2,0,14.58689040118666,14.586890401186862
dgtp_c,AUTOPOIETIC,AUTOPOIETIC,2,2,0,0.026540739264445338,0.026540739264445036
6hmhpt_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.0006572067427144089,0.0006572067427144563
nadh_c,AUTOPOIETIC,AUTOPOIETIC,58,49,9,35.524817219578054,35.52481721957804
r1p_c,HOMEOSTATIC,AUTOPOIETIC,5,5,0,0.0006611362299652644,0.0
6pgl_c,AUTOPOIETIC,AUTOPOIETIC,1,1,0,4.081934853516555,4.081934853516565
hisp_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.0930679407941279,0.09306794079412814
6pgc_c,AUTOPOIETIC,AUTOPOIETIC,2,2,0,4.081934853516555,4.081934853516564
2ohph_c,AUTOPOIETIC,AUTOPOIETIC,2,2,0,0.00021906891423811487,0.00021906891423811617
eig3p_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.09306794079412792,0.09306794079412886
skm5p_c,AUTOPOIETIC,AUTOPOIETIC,1,1,0,0.37440056289469076,0.37440056289469387
cu2_c,AUTOPOIETIC,HOMEOSTATIC,5,0,5,0.0009362003375288047,0.0009362003375288202
h2o2_c,AUTOPOIETIC,AUTOPOIETIC,10,9,1,0.003835179556886101,0.0038351795568860795
bmoco1gdp_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.00011984936115269243,0.00011984936115269079
iscs_c,AUTOPOIETIC,HOMEOSTATIC,5,0,5,0.001236806112223258,0.0012368061122232739
glu__L_c,AUTOPOIETIC,AUTOPOIETIC,32,15,17,6.668432207741381,6.6684322077410485
ara5p_c,AUTOPOIETIC,AUTOPOIETIC,1,1,0,0.0382260519768326,0.0382260519768323
u3aga_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.038226051976832175,0.03822605197683164
ppi_c,AUTOPOIETIC,AUTOPOIETIC,142,89,53,7.925480091165653,6.779545336363267
fum_c,AUTOPOIETIC,AUTOPOIETIC,9,6,3,5.151619771361953,4.826656087570856
3oddcoa_c,AUTOPOIETIC,AUTOPOIETIC,1,1,0,0.3496064807132748,0.34960648071327366
gtp_c,HOMEOSTATIC,AUTOPOIETIC,2,2,0,0.7766877144372905,0.0
phthr_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.00021906891423811484,0.0002190689142381191
hdd2coa_c,AUTOPOIETIC,AUTOPOIETIC,3,3,0,0.5463087535192223,0.5463087535192268
mn2_c,AUTOPOIETIC,AUTOPOIETIC,2,1,1,0.000678818922594337,0.0006788189225943409
malcoa_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.07645799818454019,0.07645799818454087
3hhdcoa_c,AUTOPOIETIC,AUTOPOIETIC,1,1,0,0.2731543767596131,0.2731543767596127
3ig3p_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.05584096095083915,0.05584096095083944
cmp_c,AUTOPOIETIC,AUTOPOIETIC,28,17,11,0.1777159727813764,0.17771597278137416
ala__D_c,AUTOPOIETIC,AUTOPOIETIC,7,7,0,0.054596295864114464,0.054596295864114824
dhptd_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.00044010257210170997,0.0004401025721016847
fadh2_c,AUTOPOIETIC,AUTOPOIETIC,12,11,1,4.293921651762483,4.293921651756974
rhcys_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.000440102572101683,0.0004401025721016863
prlp_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.09306794079412792,0.09306794079412853
kdo8p_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.03822605197683196,0.03822605197683217
5drib_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.0002210336578635549,0.0002210336578635697
gly_c,AUTOPOIETIC,AUTOPOIETIC,9,9,0,1.0958166008466135,1.0958166008465975
34hpp_c,AUTOPOIETIC,HOMEOSTATIC,2,0,2,0.2713684248040746,0.2713684248040735
pnto__R_c,AUTOPOIETIC,AUTOPOIETIC,2,1,1,0.000565846164130124,0.000565846164131775
cl_c,AUTOPOIETIC,AUTOPOIETIC,1,1,0,0.002556622642621957,0.0025566226426219684
thdp_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.3644098415592594,0.36440984155926165
cbasp_c,AUTOPOIETIC,HOMEOSTATIC,2,0,2,0.6499273675820406,0.6499273675820447
dctp_c,AUTOPOIETIC,AUTOPOIETIC,2,2,0,0.026540739264444734,0.02654073926444467
uppg3_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.00043813782847623164,0.0004381378284762317
cdpdhdecg_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.06268907485735929,0.06268907485735918
