test,axis_a,axis_b,angle_a,angle_b,holonomy,holonomy_ref,path_vs_single_diff
distinct_plane,z,x,1.2014073807216308,2.225101397850276,2.394472427096095,2.4717927721060526,2.4717927721060526
distinct_plane,z,x,2.09471135063373,0.4326068415341007,2.1215061667439263,1.0331920155054917,1.0331920155054917
distinct_plane,z,x,1.2211268814734866,0.6524267232302822,1.3646266775770353,1.0216310721393156,1.0216310721393156
distinct_plane,z,x,1.7593118405383397,2.507617508221296,2.7415581204227477,2.821079665203139,2.821079665203139
distinct_plane,z,x,2.8224287674342485,0.9454073477453029,2.8576800811179788,2.2714318953965176,2.2714318953965176
distinct_plane,z,x,2.189403305887916,0.4376895273609278,2.2139243794726013,1.0710247443226906,1.0710247443226906
distinct_plane,z,x,1.6933844883425486,0.39458276958447513,1.7274407542067358,0.8216087347087503,0.8216087347087503
distinct_plane,z,x,2.8242577936637026,1.4516828287204542,2.904685849039224,2.8002383492595007,2.8002383492595007
distinct_plane,z,x,1.6168667647354005,0.4421295224062962,1.6628448945749292,0.885692964483061,0.885692964483061
distinct_plane,z,x,2.7615236209575253,2.8833948964008433,3.0929515267648986,1.2521234027781503,1.2521234027781503
distinct_plane,z,x,2.18458353549027,2.993212018285875,3.0733198623947446,2.3292239403850132,2.3292239403850132
distinct_plane,z,x,2.3050901066979934,0.9704760105912692,2.406606059194691,2.1810716041978875,2.1810716041978875
distinct_plane,z,x,1.7580773331417956,0.5419966655475819,1.8178062408973312,1.1411525841083248,1.1411525841083248
distinct_plane,z,x,2.667109522107185,0.9834452056643624,2.7242155082270045,2.3065276245591053,2.3065276245591053
distinct_plane,z,x,1.025034933110729,1.0455093384218805,1.4299191089667813,1.3428064751542967,1.3428064751542967
distinct_plane,z,x,0.8537348786138207,1.0961158638822055,1.3619870322123409,1.1915534607731637,1.1915534607731637
test,axis_a,axis_b,angle_a,angle_b,nonabelian_signature,predicted_commutator_magnitude
small_angle_distinct,z,x,0.007461507661617369,0.002438407356442589,2.573041150591337e-05,2.5730477569045656e-05
small_angle_distinct,z,x,0.048760299178394875,0.018803563195163072,0.0012964986819294056,0.001296646265331346
small_angle_distinct,z,x,0.04958910140395777,0.03469837592121696,0.0024330109176694936,0.0024333825214100627
small_angle_distinct,z,x,0.04096636577022116,0.006870775060260505,0.0003980310407086831,0.0003980596590676567
small_angle_distinct,z,x,0.02414372070220359,0.008532992255171692,0.0002913457460271135,0.0002913537067445835
small_angle_distinct,z,x,0.02123420487937953,0.006002777591564528,0.00018025795609168967,0.00018026161340263297
small_angle_distinct,z,x,0.026667617147940432,0.04067021514383799,0.0015336733198061418,0.0015338245306603978
small_angle_distinct,z,x,0.04504502603224819,0.04492420955163003,0.0028613368659407413,0.0028618198022873752
small_angle_distinct,z,x,0.04047464491663035,0.0348594143184829,0.0019951082761233236,0.0019953456169303353
small_angle_distinct,z,x,0.016853586505437765,0.006790148485497987,0.00016183804716675849,0.00016184027353418443
small_angle_distinct,z,x,0.03052847766263686,0.008866716403437933,0.0003827936064752148,0.0003828097267135083
small_angle_distinct,z,x,0.03471231297424558,0.0027236924781170336,0.00013370100856211335,0.00013370776276158236
small_angle_distinct,z,x,0.04942250639694331,0.03684378391200176,0.0025747506728061027,0.0025751586528741186
small_angle_distinct,z,x,0.009699150219696692,0.00926793201971074,0.0001271242097978013,0.00012712516309668447
small_angle_distinct,z,x,0.0020751918241111948,0.003973890504762646,1.1662422704584153e-05,1.1662432471031491e-05
small_angle_distinct,z,x,0.03187626153297663,0.04724441782409387,0.002129482485043904,0.0021297708614913366
small_angle_distinct,z,x,0.04597688026243531,0.04685531020077834,0.0030460376758154,0.0030465851043678747
