bnum,gene_name_keio,COG_id,keio_call,PEC,MG_Tn5,y_ess_in_silico,b_wt,b_ko,delta_b,kV,log10_kV,keio_E,kV_db_original,log10_kV_db_original,kV_db_linear,log10_kV_db_linear,kV_db_quadratic,log10_kV_db_quadratic,kV_db_indicator,log10_kV_db_indicator,model
b2943,galP,COG0477,N,,,0,15.44424150377654,15.444241503776764,-2.238209617644316e-13,1733620.405758814,6.238954010250096,0,1733620.405758814,6.238954010250096,1733620.4057587888,6.238954010250089,1733620.405758814,6.2389540102500955,0.0,-12.0,iJO1366
b2500,purN,COG0299,N,,,0,15.44424150377654,15.412378021397636,0.0318634823789043,1745001.3023483008,6.241795755422689,0,1745001.3023483008,6.241795755422689,1748601.4673829477,6.242690838501676,1745008.7299578157,6.241797603996071,0.0,-12.0,iJO1366
b1415,aldA,COG1012,N,,,1,15.44424150377654,0.0,15.44424150377654,3019451.814659556,6.479928103394761,0,3019451.814659556,6.479928103394761,6038903.629319112,6.780958099058743,6038903.629319112,6.780958099058743,3019451.814659556,6.479928103394761,iJO1366
b2052,fcl,COG0451,N,,,0,15.44424150377654,15.444241503776585,-4.440892098500626e-14,1733620.4057588112,6.238954010250095,0,1733620.4057588112,6.238954010250095,1733620.4057588063,6.238954010250094,1733620.4057588112,6.238954010250095,0.0,-12.0,iJO1366
b2784,relA,COG0317,N,,,0,15.44424150377654,15.444241503776691,-1.5276668818842157e-13,1733620.405758813,6.238954010250096,0,1733620.405758813,6.238954010250096,1733620.4057587958,6.238954010250091,1733620.405758813,6.2389540102500955,0.0,-12.0,iJO1366
b3650,spoT,COG0317,E,E,u,0,15.44424150377654,15.444241503776691,-1.5276668818842157e-13,1733620.405758813,6.238954010250096,1,1733620.405758813,6.238954010250096,1733620.4057587958,6.238954010250091,1733620.405758813,6.2389540102500955,0.0,-12.0,iJO1366
b2051,nudD,COG0494,N,,,0,15.44424150377654,15.444241503776691,-1.5276668818842157e-13,1733620.405758813,6.238954010250096,0,1733620.405758813,6.238954010250096,1733620.4057587958,6.238954010250091,1733620.405758813,6.2389540102500955,0.0,-12.0,iJO1366
b2467,yffH,COG0494,N,,,0,15.44424150377654,15.444241503776691,-1.5276668818842157e-13,1733620.405758813,6.238954010250096,0,1733620.405758813,6.238954010250096,1733620.4057587958,6.238954010250091,1733620.405758813,6.2389540102500955,0.0,-12.0,iJO1366
b3729,glmS,COG0449,E,N,u,1,15.44424150377654,-5.333603476948256e-15,15.444241503776546,2545428.0209662374,6.405760820666559,1,2545428.0209662374,6.405760820666559,5090856.041932476,6.70679081633054,5090856.041932477,6.70679081633054,2545428.0209662374,6.405760820666559,iJO1366
b1301,puuB,COG0665,N,,,0,15.44424150377654,15.444241503776633,-9.237055564881302e-14,1733620.4057588123,6.238954010250095,0,1733620.4057588123,6.238954010250095,1733620.4057588018,6.238954010250092,1733620.4057588123,6.238954010250095,0.0,-12.0,iJO1366
