bnum,gene_name,COG_id,keio_call,PEC,MG_Tn5,y_essential_in_silico_iJO1366,b_wt,b_ko,delta_b,kV,log10_kV
b1748,astC,COG4992,N,,,1,15.44424150377654,0.0,15.44424150377654,2837056.0870502368,6.452867921645569
b3359,argD,COG4992,N,,,1,15.44424150377654,0.0,15.44424150377654,2837056.087050254,6.452867921645572
b1090,plsX,COG0416,N,,,0,15.44424150377654,15.444241503776544,-3.552713678800501e-15,1385667.6173864056,6.141659067760232
b3475,acpT,COG2091,N,,,0,15.44424150377654,15.444241503776423,1.1546319456101628e-13,1385667.6173864,6.14165906776023
b2563,acpS,COG0736,E,E,u,0,15.44424150377654,15.444241503776423,1.1546319456101628e-13,1385667.6173864,6.14165906776023
b2578,yfiK,COG1280,N,,,0,15.44424150377654,15.444241503776423,1.1546319456101628e-13,1385667.6173864,6.14165906776023
b4067,actP,COG4147,N,,,0,15.44424150377654,15.444241503776423,1.1546319456101628e-13,1385667.6173864,6.14165906776023
b1623,add,COG1816,N,,,0,15.44424150377654,15.444241503776423,1.1546319456101628e-13,1385667.6173864,6.14165906776023
b1096,pabC,COG0115,N,,,1,15.44424150377654,-1.4441516884421435e-11,15.444241503790982,2729497.7313985545,6.436082737681549
b1812,pabB,COG0147,N,,,1,15.44424150377654,3.5147921700619635e-26,15.44424150377654,2729497.7313961987,6.436082737681173
b3360,pabA,COG0512,N,,,1,15.44424150377654,3.5147921700619635e-26,15.44424150377654,2729497.7313961987,6.436082737681173
b3665,ade,COG1001,N,,,0,15.44424150377654,15.4442415037765,3.907985046680551e-14,1385667.617386403,6.141659067760231
b3654,yicE,COG2233,N,,,0,15.44424150377654,15.44424150377657,-3.0198066269804264e-14,1385667.6173864058,6.141659067760232
b3714,yieG,COG2252,N,,,0,15.44424150377654,15.44424150377657,-3.0198066269804264e-14,1385667.6173864058,6.141659067760232
b0474,adk,COG0563,E,E,u,1,15.44424150377654,-1.6256346365518291e-13,15.444241503776704,2557560.588534593,6.407825930929479
b0120,speD,COG1586,N,,,0,15.44424150377654,15.44424150377658,-3.907985046680551e-14,1385667.6180346124,6.141659067963392
