network,type,component,n_producers,max_dep_ratio,max_dep_ratio_recovery,r_argmax,baseline_conc,verdict_at_0.5
G,enzyme,ACK2,1,0.7139432636696387,0.0,E10b,99.75,FRAGILE
G,enzyme,GLY1,1,0.7139432636696387,0.0,E13a,99.75,FRAGILE
G,enzyme,GLY2,1,0.7139432636696387,0.0,E13b,99.75,FRAGILE
G,enzyme,GLYP1,1,0.7139432636696387,0.0,E14a,99.75,FRAGILE
G,enzyme,GLYP2,1,0.7139432636696387,0.0,E14b,99.75,FRAGILE
G,enzyme,PPK1,1,0.7139432636696387,0.0,E15a,99.75,FRAGILE
G,enzyme,PPK2,1,0.7139432636696387,0.0,E15b,99.75,FRAGILE
G,regulatory,TF,2,0.6484625988558015,0.0,G_auto,99.75,FRAGILE
H,metabolic,G6P,4,0.5,0.0,M14a,7.984023968039954,FRAGILE
H,metabolic,FBP,2,1.0,0.0,M2a,14.606174021670594,FRAGILE
H,metabolic,PEP,2,0.4992485481331939,-0.05495730275329581,M3a,59.49905742651788,ROBUST
H,metabolic,AcCoA,2,0.5,0.0,M8a,13.320013320013324,FRAGILE
H,metabolic,ALA,4,0.0,0.0,M5a,100.0,ROBUST
H,metabolic,ASP,4,0.0,0.0,M6a,100.0,ROBUST
H,metabolic,MAL,2,0.0,0.0,M7a,100.0,ROBUST
H,metabolic,GLU,4,0.0,0.0,M12a,69.80991011985017,ROBUST
H,metabolic,Glycogen,2,1.0,0.0,M13a,95.75798801598002,FRAGILE
H,metabolic,PolyP,2,1.0,0.04449418091615136,M15a,7.523934995398241,FRAGILE
H,enzyme,HK1,1,0.7139432636696387,0.0,E1a,99.75,FRAGILE
H,enzyme,HK2,1,0.7139432636696387,0.0,E1b,99.75,FRAGILE
H,enzyme,PFK1,1,0.7139432636696387,0.0,E2a,99.75,FRAGILE
H,enzyme,PFK2,1,0.7139432636696387,0.0,E2b,99.75,FRAGILE
H,enzyme,ALDO1,1,0.7139432636696386,0.0,E3a,99.2518734375,FRAGILE
H,enzyme,ALDO2,1,0.7139432636696386,0.0,E3b,99.2518734375,FRAGILE
H,enzyme,PYK1,1,0.7139432636696387,0.0,E4a,99.75,FRAGILE
H,enzyme,PYK2,1,0.7139432636696387,0.0,E4b,99.75,FRAGILE
H,enzyme,ALT1,1,0.7139432636696387,0.0,E5a,99.75,FRAGILE
H,enzyme,ALT2,1,0.7139432636696387,0.0,E5b,99.75,FRAGILE
H,enzyme,ALT3,1,0.7139432636696387,0.0,E11a,99.75,FRAGILE
H,enzyme,ALT4,1,0.7139432636696387,0.0,E11b,99.75,FRAGILE
H,enzyme,ALT5,1,0.7139432636696387,0.0,E12a,99.75,FRAGILE
H,enzyme,ALT6,1,0.7139432636696387,0.0,E12b,99.75,FRAGILE
H,enzyme,ASPAT1,1,0.7139432636696383,0.2915542211075296,E6a,63.18736256778467,FRAGILE
H,enzyme,ASPAT2,1,0.7139432636696383,0.2915542211075296,E6b,63.18736256778467,FRAGILE
H,enzyme,ASPAT3,1,0.7139432636696387,0.0,E17a,99.75,FRAGILE
H,enzyme,ASPAT4,1,0.7139432636696387,0.0,E17b,99.75,FRAGILE
H,enzyme,MDH1,1,0.7139432636696383,0.3019469908783775,E7a,63.18736256778467,FRAGILE
H,enzyme,MDH2,1,0.7139432636696383,0.3019469908783775,E7b,63.18736256778467,FRAGILE
H,enzyme,PDH1,1,0.7139432636696387,0.0,E8a,99.75,FRAGILE
H,enzyme,PDH2,1,0.7139432636696387,0.0,E8b,99.75,FRAGILE
H,enzyme,PEPC1,1,0.7139432636696387,0.0,E9a,99.75,FRAGILE
H,enzyme,PEPC2,1,0.7139432636696387,0.0,E9b,99.75,FRAGILE
H,enzyme,ACK1,1,0.7139432636696387,0.0,E10a,99.75,FRAGILE
H,enzyme,ACK2,1,0.7139432636696387,0.0,E10b,99.75,FRAGILE
H,enzyme,GLY1,1,0.7139432636696387,0.0,E13a,99.75,FRAGILE
H,enzyme,GLY2,1,0.7139432636696387,0.0,E13b,99.75,FRAGILE
H,enzyme,GLYP1,1,0.7139432636696387,0.0,E14a,99.75,FRAGILE
H,enzyme,GLYP2,1,0.7139432636696387,0.0,E14b,99.75,FRAGILE
H,enzyme,PPK1,1,0.7139432636696387,0.0,E15a,99.75,FRAGILE
H,enzyme,PPK2,1,0.7139432636696387,0.0,E15b,99.75,FRAGILE
H,regulatory,TF,2,0.652222755878326,0.0,G_auto,99.75,FRAGILE
I,metabolic,G6P,4,0.5,0.0,M14a,7.984023968039954,FRAGILE
I,metabolic,FBP,2,1.0,0.0,M2a,14.606174021670594,FRAGILE
I,metabolic,PEP,2,0.49924854813318686,-0.054957303347389165,M3a,59.49905742651788,ROBUST
I,metabolic,AcCoA,2,0.5,0.0,M8a,13.320013320013324,FRAGILE
I,metabolic,ALA,6,0.0,0.0,M5a,100.0,ROBUST
I,metabolic,ASP,4,0.0,0.0,M6a,100.0,ROBUST
I,metabolic,MAL,2,0.0,0.0,M7a,100.0,ROBUST
I,metabolic,GLU,6,0.0,0.0,M12a,64.8198951398252,ROBUST
I,metabolic,Glycogen,2,1.0,0.0,M13a,95.75798801598002,FRAGILE
I,metabolic,PolyP,2,1.0,0.04449138888537356,M15a,7.5239130101876075,FRAGILE
I,enzyme,HK1,1,0.7139432636696387,0.0,E1a,99.75,FRAGILE
I,enzyme,HK2,1,0.7139432636696387,0.0,E1b,99.75,FRAGILE
I,enzyme,PFK1,1,0.7139432636696387,0.0,E2a,99.75,FRAGILE
I,enzyme,PFK2,1,0.7139432636696387,0.0,E2b,99.75,FRAGILE
I,enzyme,ALDO1,1,0.7139432636696386,0.0,E3a,99.2518734375,FRAGILE
I,enzyme,ALDO2,1,0.7139432636696386,0.0,E3b,99.2518734375,FRAGILE
I,enzyme,PYK1,1,0.7139432636696387,0.0,E4a,99.75,FRAGILE
I,enzyme,PYK2,1,0.7139432636696387,0.0,E4b,99.75,FRAGILE
I,enzyme,ALT1,1,0.7139432636696387,0.0,E5a,99.75,FRAGILE
I,enzyme,ALT2,1,0.7139432636696387,0.0,E5b,99.75,FRAGILE
I,enzyme,ALT3,1,0.7139432636696387,0.0,E11a,99.75,FRAGILE
I,enzyme,ALT4,1,0.7139432636696387,0.0,E11b,99.75,FRAGILE
I,enzyme,ALT5,1,0.7139432636696387,0.0,E12a,99.75,FRAGILE
I,enzyme,ALT6,1,0.7139432636696387,0.0,E12b,99.75,FRAGILE
I,enzyme,ASPAT1,1,0.7139432636696388,0.27118392439570466,E6a,58.90925899301221,FRAGILE
I,enzyme,ASPAT2,1,0.7139432636696388,0.27118392439570466,E6b,58.90925899301221,FRAGILE
I,enzyme,ASPAT3,1,0.7139432636696387,0.0,E17a,99.75,FRAGILE
I,enzyme,ASPAT4,1,0.7139432636696387,0.0,E17b,99.75,FRAGILE
I,enzyme,ALT7,1,0.7139432636696387,0.0,E19a,99.75,FRAGILE
I,enzyme,ALT8,1,0.7139432636696387,0.0,E19b,99.75,FRAGILE
I,enzyme,MDH1,1,0.7139432636696388,0.1915586197371233,E7a,58.90925899301221,FRAGILE
I,enzyme,MDH2,1,0.7139432636696388,0.1915586197371233,E7b,58.90925899301221,FRAGILE
I,enzyme,PDH1,1,0.7139432636696387,0.0,E8a,99.75,FRAGILE
I,enzyme,PDH2,1,0.7139432636696387,0.0,E8b,99.75,FRAGILE
I,enzyme,PEPC1,1,0.7139432636696387,0.0,E9a,99.75,FRAGILE
I,enzyme,PEPC2,1,0.7139432636696387,0.0,E9b,99.75,FRAGILE
I,enzyme,ACK1,1,0.7139432636696387,0.0,E10a,99.75,FRAGILE
