type,id,n_producers_or_mets,max_dep_ratio,max_dep_ratio_recovery,mean_dep_ratio,r_argmax_or_m_argmax,baseline_conc
component,TF,2,0.6711231623220166,0.0,0.3355615811610083,G_auto,99.75
component,MAE1,1,0.7139432636696387,0.0,0.7139432636696387,E24a,99.75
component,MAE2,1,0.7139432636696387,0.0,0.7139432636696387,E24b,99.75
component,PCK1,1,0.7139432636696387,0.0,0.7139432636696387,E25a,99.75
component,PCK2,1,0.7139432636696387,0.0,0.7139432636696387,E25b,99.75
component,FBP1,1,0.7139432636696387,0.0,0.7139432636696387,E26a,99.75
component,FBP2,1,0.7139432636696387,0.0,0.7139432636696387,E26b,99.75
component,GLY3,1,0.7139432636696387,0.0,0.7139432636696387,E27a,99.75
component,GLY4,1,0.7139432636696387,0.0,0.7139432636696387,E27b,99.75
component,PPK3,1,0.7139432636696387,0.0,0.7139432636696387,E28a,99.75
component,PPK4,1,0.7139432636696387,0.0,0.7139432636696387,E28b,99.75
component,ALDO5,1,0.7139432636696387,0.0,0.7139432636696387,E29a,99.75
component,ALDO6,1,0.7139432636696387,0.0,0.7139432636696387,E29b,99.75
component,PPS1,1,0.7139432636696387,0.0,0.7139432636696387,E30a,99.75
component,PPS2,1,0.7139432636696387,0.0,0.7139432636696387,E30b,99.75
reaction,M1a,2,3.513644884919198e-10,3.513644884919198e-10,-0.3215954531336513,G6P,
reaction,M1b,2,3.513644884919198e-10,3.513644884919198e-10,-0.3215954531336513,G6P,
reaction,M2a,1,0.1953548769395981,1.0,0.1953548769395981,FBP,
reaction,M2b,1,0.1953548769395981,1.0,0.1953548769395981,FBP,
reaction,M3a,1,-0.15821397203614282,-1.3095118926275755,-0.15821397203614282,PEP,
reaction,M3b,1,-0.15821397203614282,-1.3095118926275755,-0.15821397203614282,PEP,
reaction,M4a,2,0.5022987742079836,0.20095969564900557,0.2511493871039918,ATP,
reaction,M4b,2,0.5022987742079836,0.20095969564900557,0.2511493871039918,ATP,
reaction,M5a,1,0.9001997003995007,0.0,0.9001997003995007,ALA,
reaction,M5b,1,0.9001997003995007,0.0,0.9001997003995007,ALA,
reaction,M6a,1,0.0,0.0,0.0,ASP,
reaction,M6b,1,0.0,0.0,0.0,ASP,
reaction,M7a,2,0.9903863060837437,0.0,0.49519315304187184,MAL,
reaction,M7b,2,0.9903863060837437,0.0,0.49519315304187184,MAL,
reaction,M8a,2,0.25038295851970377,0.0,0.12519147925985188,AcCoA,
reaction,M8b,2,0.25038295851970377,0.0,0.12519147925985188,AcCoA,
reaction,M9a,1,0.20049628622132598,0.20049628622132598,0.20049628622132598,OAA,
reaction,M9b,1,0.20049628622132598,0.20049628622132598,0.20049628622132598,OAA,
reaction,M10a,2,0.7725462883418287,0.870841105535429,0.5407268028171116,ATP,
reaction,M10b,2,0.7725462883418287,0.870841105535429,0.5407268028171116,ATP,
reaction,M11a,2,0.7897139049230152,0.20049628622132598,0.38628898537148254,ALA,
reaction,M11b,2,0.7897139049230152,0.20049628622132598,0.38628898537148254,ALA,
reaction,M12a,2,0.0,0.0,0.0,GLU,
reaction,M12b,2,0.0,0.0,0.0,GLU,
reaction,M13a,2,0.0,0.0,-0.32159545330933353,Glycogen,
reaction,M13b,2,0.0,0.0,-0.32159545330933353,Glycogen,
reaction,M14a,1,0.1428586731604266,3.513644884919198e-10,0.1428586731604266,G6P,
reaction,M14b,1,0.1428586731604266,3.513644884919198e-10,0.1428586731604266,G6P,
reaction,M15a,2,0.0,0.0,-0.32159545330933353,PolyP,
reaction,M15b,2,0.0,0.0,-0.32159545330933353,PolyP,
reaction,M16a,1,0.9323394810781076,0.870841105535429,0.9323394810781076,ATP,
reaction,M16b,1,0.9323394810781076,0.870841105535429,0.9323394810781076,ATP,
reaction,M17a,2,0.5,0.0,0.4627629380238369,ASP,
reaction,M17b,2,0.5,0.0,0.4627629380238369,ASP,
reaction,M18a,2,0.20049628622132598,0.20049628622132598,0.10024814311066299,OAA,
reaction,M18b,2,0.20049628622132598,0.20049628622132598,0.10024814311066299,OAA,
reaction,M19a,2,0.07092097934127894,0.0,0.03546048967063947,alphaKG,
reaction,M19b,2,0.07092097934127894,0.0,0.03546048967063947,alphaKG,
reaction,M20a,2,0.0,0.0,0.0,GLU,
reaction,M20b,2,0.0,0.0,0.0,GLU,
reaction,M21a,2,-0.003915566059467673,-0.003915566059467673,-0.003915566059467673,DHAP,
reaction,M21b,2,-0.003915566059467673,-0.003915566059467673,-0.003915566059467673,DHAP,
reaction,M22a,1,0.5962542058578024,3.338099707159657e-07,0.5962542058578024,FBP,
reaction,M22b,1,0.5962542058578024,3.338099707159657e-07,0.5962542058578024,FBP,
reaction,M23a,3,0.0,0.0,-0.38080832985975316,Pi,
reaction,M23b,3,0.0,0.0,-0.38080832985975316,Pi,
reaction,E1a,3,0.7139432636696387,0.0,0.023584119016990535,HK1,
reaction,E1b,3,0.7139432636696387,0.0,0.023584119016990535,HK2,
reaction,E2a,3,0.7139432636696387,0.0,0.23368406569938746,PFK1,
reaction,E2b,3,0.7139432636696387,0.0,0.23368406569938746,PFK2,
reaction,E3a,3,0.7139432636696386,0.0,0.20292290168608906,ALDO1,
reaction,E3b,3,0.7139432636696386,0.0,0.20292290168608906,ALDO2,
reaction,E4a,3,0.7139432636696387,0.0,0.1403010192795309,PYK1,
reaction,E4b,3,0.7139432636696387,0.0,0.1403010192795309,PYK2,
reaction,E5a,3,0.7139432636696387,0.0,0.023584119016990535,ALT1,
reaction,E5b,3,0.7139432636696387,0.0,0.023584119016990535,ALT2,
