tau,beta,D,L,structure,mdl,sse,nll,bic_penalty,scale,kappa_V_uncalibrated,kappa_V_calibrated,abs_err_calibrated,abs_err_uncalibrated
0.02,5.0,0.2,4,kmeans,-406.004889234405,93.77250381060827,-418.4341054312494,12.429216196844383,-0.052589576680154355,0.1308275672586863,-0.006880166380228735,0.3275755754382461,0.18986784179933106
0.02,5.0,0.2,8,uniform,-413.2052358365855,91.11024805252573,-425.63445203342985,12.429216196844383,-0.11896914081605697,0.65434365186766,-0.0778467020611366,0.39854211111915394,0.3336482428096426
0.02,5.0,0.2,8,kmeans,-419.23165666029155,88.94023319257873,-431.6608728571359,12.429216196844383,-0.07449900923342219,0.42830761611300416,-0.03190849304754775,0.3526039021055651,0.10761220705498681
0.02,5.0,0.2,16,uniform,-413.2052358365855,91.11024805252573,-425.63445203342985,12.429216196844383,-0.11896914081605697,0.65434365186766,-0.0778467020611366,0.39854211111915394,0.3336482428096426
0.02,5.0,0.2,16,kmeans,-419.23165666029155,88.94023319257873,-431.6608728571359,12.429216196844383,-0.07449900923342219,0.42830761611300416,-0.03190849304754775,0.3526039021055651,0.10761220705498681
0.02,5.0,0.2,32,uniform,-413.2052358365855,91.11024805252573,-425.63445203342985,12.429216196844383,-0.11896914081605697,0.65434365186766,-0.0778467020611366,0.39854211111915394,0.3336482428096426
0.02,5.0,0.2,32,kmeans,-419.23165666029155,88.94023319257873,-431.6608728571359,12.429216196844383,-0.07449900923342219,0.42830761611300416,-0.03190849304754775,0.3526039021055651,0.10761220705498681
0.02,5.0,0.5,4,uniform,-459.20015096299926,75.79941915651989,-471.62936715984364,12.429216196844383,0.13294748038693974,0.11130144146792217,0.014797246206594705,0.30589816285142263,0.20939396759009518
0.02,5.0,0.5,4,kmeans,-479.4779404985572,69.89397644486884,-491.90715669540157,12.429216196844383,0.2574003442395421,0.38061605586469816,0.09797070380267009,0.22272470525534727,0.0599206468066808
0.02,5.0,0.5,8,uniform,-451.62402340054257,78.13164340507807,-464.05323959738695,12.429216196844383,0.08410591149040393,0.32470434062901404,0.027309554533493825,0.29338585452452354,0.004008931570996688
0.02,5.0,0.5,8,kmeans,-460.5784048372816,75.3826855688905,-473.007621034126,12.429216196844383,0.13497468920204234,0.5927373505435299,0.08000453966805497,0.24069086938996237,0.2720419414855126
0.02,5.0,0.5,16,uniform,-451.62402340054257,78.13164340507807,-464.05323959738695,12.429216196844383,0.08410591149040393,0.32470434062901404,0.027309554533493825,0.29338585452452354,0.004008931570996688
0.02,5.0,0.5,16,kmeans,-460.5784048372816,75.3826855688905,-473.007621034126,12.429216196844383,0.13497468920204234,0.5927373505435299,0.08000453966805497,0.24069086938996237,0.2720419414855126
0.02,5.0,0.5,32,uniform,-451.62402340054257,78.13164340507807,-464.05323959738695,12.429216196844383,0.08410591149040393,0.32470434062901404,0.027309554533493825,0.29338585452452354,0.004008931570996688
0.02,5.0,0.5,32,kmeans,-460.5784048372816,75.3826855688905,-473.007621034126,12.429216196844383,0.13497468920204234,0.5927373505435299,0.08000453966805497,0.24069086938996237,0.2720419414855126
0.02,10.0,0.02,4,uniform,-417.7696232246044,89.46189144827252,-430.1988394214488,12.429216196844383,-0.12290694761483897,0.01599914799481398,-0.001966406444480658,0.322661815502498,0.30469626106320336
0.02,10.0,0.02,4,kmeans,-417.7873779034813,89.4555382052572,-430.21659410032566,12.429216196844383,-0.12612800501243382,0.08968619865990497,-0.01131194131412263,0.33200735037213996,0.2310092103981124
0.02,10.0,0.02,8,uniform,-458.13262358743555,76.12378301826553,-470.5618397842799,12.429216196844383,-0.15888861626337514,0.284250483590583,-0.04516416600990296,0.36585957506792033,0.03644492546743433
0.02,10.0,0.02,8,kmeans,-458.51514231999596,76.00739698865263,-470.94435851684034,12.429216196844383,-0.14751444266553532,0.42712935720404666,-0.0630077490740433,0.3837031581320607,0.1064339481460293
0.02,10.0,0.02,16,uniform,-458.13262358743555,76.12378301826553,-470.5618397842799,12.429216196844383,-0.15888861626337514,0.284250483590583,-0.04516416600990296,0.36585957506792033,0.03644492546743433
0.02,10.0,0.02,16,kmeans,-458.51514231999596,76.00739698865263,-470.94435851684034,12.429216196844383,-0.14751444266553532,0.42712935720404666,-0.0630077490740433,0.3837031581320607,0.1064339481460293
0.02,10.0,0.02,32,uniform,-458.13262358743555,76.12378301826553,-470.5618397842799,12.429216196844383,-0.15888861626337514,0.284250483590583,-0.04516416600990296,0.36585957506792033,0.03644492546743433
0.02,10.0,0.02,32,kmeans,-458.51514231999596,76.00739698865263,-470.94435851684034,12.429216196844383,-0.14751444266553532,0.42712935720404666,-0.0630077490740433,0.3837031581320607,0.1064339481460293
0.02,10.0,0.05,4,uniform,-418.52391145354335,89.19237802769331,-430.9531276503877,12.429216196844383,-0.12277107938609202,0.035529104198848416,-0.004361946472113554,0.32505735553013093,0.28516630485916894
0.02,10.0,0.05,4,kmeans,-418.5581718165145,89.18015581220548,-430.9873880133589,12.429216196844383,-0.12872759986285295,0.12042126645920855,-0.015501540603738992,0.33619694966175634,0.20027414259880882
0.02,10.0,0.05,8,uniform,-459.68452419216095,75.65270049789514,-472.11374038900533,12.429216196844383,-0.15719213973563462,0.3327434698875419,-0.05230465801468241,0.3730000670726998,0.012048060829524532
0.02,10.0,0.05,8,kmeans,-460.13188176253567,75.51744631480261,-472.56109795938005,12.429216196844383,-0.14520547906709616,0.47937817385993037,-0.06960833738964091,0.39030374644765825,0.158682764801913
0.02,10.0,0.05,16,uniform,-459.68452419216095,75.65270049789514,-472.11374038900533,12.429216196844383,-0.15719213973563462,0.3327434698875419,-0.05230465801468241,0.3730000670726998,0.012048060829524532
0.02,10.0,0.05,16,kmeans,-460.13188176253567,75.51744631480261,-472.56109795938005,12.429216196844383,-0.14520547906709616,0.47937817385993037,-0.06960833738964091,0.39030374644765825,0.158682764801913
0.02,10.0,0.05,32,uniform,-459.68452419216095,75.65270049789514,-472.11374038900533,12.429216196844383,-0.15719213973563462,0.3327434698875419,-0.05230465801468241,0.3730000670726998,0.012048060829524532
0.02,10.0,0.05,32,kmeans,-460.13188176253567,75.51744631480261,-472.56109795938005,12.429216196844383,-0.14520547906709616,0.47937817385993037,-0.06960833738964091,0.39030374644765825,0.158682764801913
0.02,10.0,0.1,4,uniform,-420.60319221230077,88.45363043170835,-433.03240840914515,12.429216196844383,-0.133902221698428,0.09439495147877469,-0.012639693720123243,0.3333351027781406,0.22630045757924266
