type,id,n_producers_or_mets,max_dep_ratio,max_dep_ratio_recovery,mean_dep_ratio,r_argmax_or_m_argmax,baseline_conc
reaction,E7a,3,0.7139432636696392,0.3120459135190976,0.2331888125862317,MDH1,
reaction,E7b,3,0.7139432636696392,0.3120459135190976,0.2331888125862317,MDH2,
reaction,E8a,3,0.7139432636696387,0.0,0.2314617165989609,PDH1,
reaction,E8b,3,0.7139432636696387,0.0,0.2314617165989609,PDH2,
reaction,E9a,3,0.7139432636696387,0.0,0.2332205643670622,PEPC1,
reaction,E9b,3,0.7139432636696387,0.0,0.2332205643670622,PEPC2,
reaction,E10a,3,0.7139432636696387,0.0,0.2099077335275625,ACK1,
reaction,E10b,3,0.7139432636696387,0.0,0.2099077335275625,ACK2,
reaction,E11a,4,0.7139432636696387,0.0,0.2331888125862315,ALT3,
reaction,E11b,4,0.7139432636696387,0.0,0.2331888125862315,ALT4,
reaction,E12a,3,0.7139432636696387,0.0,0.2331888125862315,ALT5,
reaction,E12b,3,0.7139432636696387,0.0,0.2331888125862315,ALT6,
reaction,E13a,3,0.7139432636696387,0.0,0.23304141140467838,GLY1,
reaction,E13b,3,0.7139432636696387,0.0,0.23304141140467838,GLY2,
reaction,E14a,3,0.7139432636696387,0.0,0.22749123383501826,GLYP1,
reaction,E14b,3,0.7139432636696387,0.0,0.22749123383501826,GLYP2,
reaction,E15a,3,0.7139432636696387,0.0,0.22191114072379228,PPK1,
reaction,E15b,3,0.7139432636696387,0.0,0.22191114072379228,PPK2,
reaction,E17a,3,0.7139432636696387,0.0,0.2331888125862315,ASPAT3,
reaction,E17b,3,0.7139432636696387,0.0,0.2331888125862315,ASPAT4,
reaction,E19a,3,0.7139432636696387,0.0,0.2331888125862315,ALT7,
reaction,E19b,3,0.7139432636696387,0.0,0.2331888125862315,ALT8,
reaction,E21a,3,0.7139432636696387,0.0,0.2327195475952115,ALDO3,
reaction,E21b,3,0.7139432636696387,0.0,0.2327195475952115,ALDO4,
reaction,E23a,3,0.7139432636696387,0.0,0.15685273680714515,ACS1,
reaction,E23b,3,0.7139432636696387,0.0,0.15685273680714515,ACS2,
reaction,G_const,3,0.0,0.0,-0.004792275303648047,TF,
reaction,G_auto,3,0.6642700258582932,0.0,-0.11391039081348547,TF,
