bnum,gene_name_keio,COG_id,keio_call,PEC,MG_Tn5,y_essential_in_silico_iML1515,b_wt,b_ko,delta_b,kV,log10_kV
b0446,cof,COG0561,N,,,0,0.9259332133632957,0.9259332133632351,6.061817714453355e-14,1258.424895293219,3.0998273013042996
b3812,yigB,COG1011,N,,,1,0.9259332133632957,-9.936883456088956e-16,0.9259332133632967,5744.156584658769,3.759226270183819
b1662,ribC,COG0307,E,N,u,1,0.9259332133632957,0.0,0.9259332133632957,5744.156584658638,3.759226270183809
b0421,ispA,COG0142,E,E,u,1,0.9259332133632957,0.0,0.9259332133632957,5744.156584658688,3.759226270183813
b3804,hemD,COG1587,E,u,u,1,0.9259332133632957,0.0,0.9259332133632957,5744.156584658676,3.759226270183812
b3997,hemE,COG0407,N,,,1,0.9259332133632957,0.0,0.9259332133632957,5744.156584658644,3.7592262701838095
b4382,deoA,COG0213,N,,,0,0.9259332133632957,0.9259332133632766,1.9095836023552692e-14,1258.4248952934574,3.0998273013043818
b0126,can,COG0288,E,E,u,1,0.9259332133632957,3.166118520542972e-13,0.9259332133629791,6050.559922092018,3.7817955663587366
b0339,cynT,COG0288,N,,,1,0.9259332133632957,-1.2187003625989282e-13,0.9259332133634176,6050.559922096071,3.7817955663590275
b4006,purH,COG0138,N,,,1,0.9259332133632957,-1.2187003625989282e-13,0.9259332133634176,6050.559922096071,3.7817955663590275
b2508,guaB,COG0516,N,,,0,0.9259332133632957,0.92593321336326,3.574918139293004e-14,1244.7800505667528,3.0950926194928163
b3846,fadB,COG1024,N,,,0,0.9259332133632957,0.9259332133632627,3.297362383136715e-14,1311.9126323287142,3.1179049138803903
b2341,yfcX,COG1024,N,,,0,0.9259332133632957,0.9259332133633822,-8.64863736182997e-14,1311.9126323298633,3.117904913880771
b2400,gltX,COG0008,E,E,u,1,0.9259332133632957,-1.6917252572964106e-15,0.9259332133632974,5474.888518254738,3.7383752803341235
b3993,thiE,COG0352,N,,,1,0.9259332133632957,0.0,0.9259332133632957,5474.888518254691,3.7383752803341195
b2066,udk,COG0572,N,,,0,0.9259332133632957,0.9259332133633035,-7.771561172376096e-15,1311.9126323291366,3.11790491388053
b0238,gpt,COG0503,N,,,0,0.9259332133632957,0.9259332133633048,-9.103828801926284e-15,1254.9432919018711,3.098624101458068
b2518,ndk,COG0105,N,,,0,0.9259332133632957,0.9259332133633222,-2.653433028854124e-14,1533.9678604549108,3.1858162604126323
b0474,adk,COG0563,E,E,u,0,0.9259332133632957,0.9259332133632863,9.43689570931383e-15,1531.2084749794858,3.185034324185798
b1062,pyrC,COG0418,N,,,1,0.9259332133632957,-1.4931157166137148e-15,0.9259332133632971,5740.843109119518,3.758975678242868
b1281,pyrF,COG0284,N,,,1,0.9259332133632957,0.0,0.9259332133632957,5740.8431091196,3.758975678242874
b0720,gltA,COG0372,N,,,1,0.9259332133632957,-2.9854113983557763e-15,0.9259332133632987,5740.843109119622,3.7589756782428756
b1136,icd,COG0538,N,,,1,0.9259332133632957,7.668193846052201e-16,0.9259332133632949,5740.843109119582,3.7589756782428725
b0351,mhpF,COG0119,N,,,0,0.9259332133632957,0.9259332133632447,5.0959236830294685e-14,1469.0550019329894,3.1670380562319287
b1241,adhE,COG1012,N,,,0,0.9259332133632957,0.9259332133632996,-3.885780586188048e-15,1468.6376896593122,3.166914669317139
b4069,acs,COG0365,N,,,0,0.9259332133632957,0.9259332133632717,2.398081733190338e-14,1481.641204752667,3.1707430473264373
b4226,ppa,COG0221,E,E,u,1,0.9259332133632957,-4.423294303134895e-15,0.9259332133633001,8144.408409214899,3.910859543654413
b2502,ppx,COG0248,N,,,1,0.9259332133632957,1.024778872854738e-14,0.9259332133632855,8144.408409214793,3.910859543654407
b2744,surE,COG0496,N,,,1,0.9259332133632957,1.2031236602985413e-14,0.9259332133632837,8980.298474165276,3.9532907713587067
b3403,pck,COG1866,N,,,0,0.9259332133632957,0.925933213363284,1.1657341758564144e-14,1674.2053234813807,3.2238087185239177
b1479,sfcA,COG0281,N,,,0,0.9259332133632957,0.9259332133632648,3.086420008457935e-14,1674.20532348138,3.2238087185239177
b1190,dadX,COG0787,N,,,1,0.9259332133632957,-1.368591339226362e-16,0.9259332133632958,6204.1756075146,3.7926840819035315
b4053,alr,COG0787,N,,,1,0.9259332133632957,0.0,0.9259332133632957,6204.175607514634,3.792684081903534
b2379,yfdZ,COG0436,N,,,0,0.9259332133632957,0.925933213363289,6.661338147750939e-15,3071.88266031572,3.4874046225083473
b2290,yfbQ,COG0436,N,,,0,0.9259332133632957,0.9259332133632957,0.0,3071.882660315822,3.4874046225083615
b3564,xylB,COG1070,N,,,0,0.9259332133632957,0.9259332133632957,0.0,3071.882660315822,3.4874046225083615
b0063,araB,COG1069,u,,,0,0.9259332133632957,0.9259332133632957,0.0,3071.882660315822,3.4874046225083615
b3752,rbsK,COG0524,N,,,0,0.9259332133632957,0.9259332133632957,0.0,3071.882660315822,3.4874046225083615
b3926,glpK,COG0554,N,,,0,0.9259332133632957,0.9259332133632957,0.0,3071.882660315822,3.4874046225083615
b4383,deoB,COG1015,N,,,0,0.9259332133632957,0.9259332133632957,0.0,3033.241167893436,3.4819069417058017
b0928,aspC,COG1448,N,,,1,0.9259332133632957,-7.984193065359245e-15,0.9259332133633037,6498.155717105577,3.812790114252639
b3925,glpX,COG1494,N,,,0,0.9259332133632957,0.9259332133632093,8.637535131583718e-14,3118.8801912976005,3.4939986920839448
b2930,yggF,COG1494,N,,,0,0.9259332133632957,0.9259332133632631,3.26405569239796e-14,3118.8801912977046,3.4939986920839594
b4232,fbp,COG0158,N,,,0,0.9259332133632957,0.9259332133632631,3.26405569239796e-14,3118.8801912977046,3.4939986920839594
b3697,yidA,COG0561,N,,,0,0.9259332133632957,0.9259332133632631,3.26405569239796e-14,3118.8801912977046,3.4939986920839594
b3430,glgC,COG0448,N,,,0,0.9259332133632957,0.9259332133632631,3.26405569239796e-14,3118.8801912977046,3.4939986920839594
b1676,pykF,COG0469,N,,,0,0.9259332133632957,0.9259332133632631,3.26405569239796e-14,3118.8801912977046,3.4939986920839594
b1854,pykA,COG0469,N,,,0,0.9259332133632957,0.9259332133632631,3.26405569239796e-14,3075.5034810226853,3.487916222918241
b3197,kdsD,COG0794,N,,,1,0.9259332133632957,1.7112974987765007e-16,0.9259332133632955,4851.354274076701,3.6858629904905467
b2708,gutQ,COG0794,N,,,1,0.9259332133632957,0.0,0.9259332133632957,4851.354274076706,3.685862990490547
b0072,leuC,COG0065,N,,,1,0.9259332133632957,0.0,0.9259332133632957,4851.354274076706,3.685862990490547
b0071,leuD,COG0066,N,,,1,0.9259332133632957,0.0,0.9259332133632957,4851.354274076701,3.6858629904905467
b3671,ilvB,COG0028,N,,,1,0.9259332133632957,0.0,0.9259332133632957,4851.354274076701,3.6858629904905467
b3670,ilvN,COG0440,N,,,1,0.9259332133632957,0.0,0.9259332133632957,4851.354274076705,3.6858629904905467
b0078,ilvH,COG0440,N,,,1,0.9259332133632957,0.0,0.9259332133632957,4851.354274076705,3.6858629904905467
b0908,aroA,COG0128,N,,,1,0.9259332133632957,0.0,0.9259332133632957,4851.354274076705,3.6858629904905467
b1264,trpE,COG0147,N,,,1,0.9259332133632957,0.0,0.9259332133632957,4851.354274076711,3.6858629904905476
b1263,trpD,COG0512,N,,,1,0.9259332133632957,0.0,0.9259332133632957,4851.354274076703,3.6858629904905467
b2599,pheA,COG0077,N,,,1,0.9259332133632957,0.0,0.9259332133632957,4851.354274076703,3.6858629904905467
b2600,tyrA,COG0287,N,,,1,0.9259332133632957,0.0,0.9259332133632957,4851.354274076706,3.685862990490547
b2329,aroC,COG0082,N,,,1,0.9259332133632957,0.0,0.9259332133632957,4851.354274076706,3.685862990490547
b1262,trpC,COG0134,N,,,1,0.9259332133632957,0.0,0.9259332133632957,4851.354274076697,3.685862990490546
b2779,eno,COG0148,E,E,u,0,0.9259332133632957,0.8042306786411496,0.1217025347221461,50246.96282549949,4.70110981598328
b2925,fbaA,COG0191,E,E,u,0,0.9259332133632957,0.9259332133632749,2.0761170560490427e-14,44557.729980499804,4.648923057343975
b0963,mgsA,COG1803,N,,,0,0.9259332133632957,0.9259332133632753,2.042810365310288e-14,36266.68690238289,4.559507882965773
b1702,pps,COG0574,N,,,0,0.9259332133632957,0.9259332133632339,6.183942247162122e-14,36266.68690238258,4.55950788296577
b4025,pgi,COG0166,N,,,0,0.9259332133632957,0.9259332133632779,1.7763568394002505e-14,30397.722196435385,4.482841041681731
b2926,pgk,COG0126,E,N,N,0,0.9259332133632957,0.6099109000583411,0.31602231330495456,21245.496202742368,4.327266878781445
b1850,eda,COG0800,N,,,0,0.9259332133632957,0.9259332133632431,5.262457136723242e-14,8399.46128618072,3.9242514327355003
b0767,ybhE,COG2706,N,,,0,0.9259332133632957,0.92593321336325,4.574118861455645e-14,7917.875823185882,3.898608686387133
b3386,rpe,COG0036,N,,,0,0.9259332133632957,0.9259332133632213,7.438494264988549e-14,7917.875823185547,3.898608686387115
b2464,talA,COG0176,N,,,0,0.9259332133632957,0.9259332133632131,8.260059303211165e-14,7515.361057344833,3.875949850052107
b0008,talB,COG0176,N,,,0,0.9259332133632957,0.9259332133632558,3.985700658404312e-14,7515.361057344829,3.875949850052107
b2465,tktB,COG0021,N,,,1,0.9259332133632957,1.860785700941666e-14,0.925933213363277,13782.131054671056,4.1393163753167235
b0678,nagB,COG0363,N,,,0,0.9259332133632957,0.9259332133632412,5.4511950509095186e-14,7515.38636089199,3.8759513122802445
b3011,yqhD,COG1979,N,,,0,0.9259332133632957,0.9259332133632842,1.1546319456101628e-14,7520.159658889162,3.876227061102079
b3003,yghA,COG1028,N,,,0,0.9259332133632957,0.9259332133632842,1.1546319456101628e-14,7520.159658889162,3.876227061102079
b0493,ybbO,COG1028,N,,,0,0.9259332133632957,0.9259332133632842,1.1546319456101628e-14,7520.159658889162,3.876227061102079
b2411,ligA,COG0272,E,E,u,0,0.9259332133632957,0.9259332133632842,1.1546319456101628e-14,7520.159658889162,3.876227061102079
b0639,nadD,COG1057,E,u,u,1,0.9259332133632957,-5.4401131002643966e-12,0.9259332133687358,13782.131054741636,4.1393163753189475
b4390,nadR,COG1056,N,,,0,0.9259332133632957,0.9259332133632477,4.796163466380676e-14,7519.162862350208,3.876169491589028
b2103,thiD,COG0351,N,,,1,0.9259332133632957,0.0,0.9259332133632957,13782.131054671308,4.1393163753167315
b2418,pdxK,COG2240,N,,,0,0.9259332133632957,0.9259332133632592,3.652633751016765e-14,7519.162862350223,3.876169491589029
b3831,udp,COG2820,N,,,0,0.9259332133632957,0.9259332133632773,1.84297022087776e-14,7519.989654966238,3.8762172431456094
b4384,deoD,COG0813,N,,,0,0.9259332133632957,0.925933213363284,1.1657341758564144e-14,7519.995483665446,3.8762175797645457
b3008,metC,COG0626,N,,,1,0.9259332133632957,1.9307222334103236e-16,0.9259332133632955,12696.902274525553,4.10369777692608
b1134,ymfB,COG0494,N,,,0,0.9259332133632957,0.9259332133633044,-8.659739592076221e-15,7521.1066529879145,3.8762817472306934
b3642,pyrE,COG0461,N,,,1,0.9259332133632957,-6.162613536163589e-17,0.9259332133632958,13782.131054671332,4.139316375316732
b0415,ribE,COG0054,E,N,u,1,0.9259332133632957,0.0,0.9259332133632957,13782.131054671232,4.139316375316729
