uniprot,gene_name,Confidence.score,medianRatio_LB_vs_Glucose,medianRatio_Glycerin.AA_vs_Glucose,medianRatio_Acetate_vs_Glucose,medianRatio_Fumarate_vs_Glucose,medianRatio_Glucoseamine_vs_Glucose,medianRatio_Glycerol_vs_Glucose,medianRatio_Pyruvate_vs_Glucose,medianRatio_Chemstat.0.5_vs_Glucose,medianRatio_Chemstat.0.35_vs_Glucose,medianRatio_Chemstat.0.2_vs_Glucose,medianRatio_Chemstat.02_vs_Glucose,medianRatio_Statday_vs_Glucose,medianRatio_Stat.3days_vs_Glucose,medianRatio_Glucose.2_vs_Glucose,medianRatio_OSM_vs_Glucose,medianRatio_42.C_vs_Glucose,medianRatio_pH6_vs_Glucose,medianRatio_Xylose_vs_Glucose,medianRatio_Mannose_vs_Glucose,medianRatio_Galactose_vs_Glucose,medianRatio_Succinate_vs_Glucose,medianRatio_Fructose_vs_Glucose,qvalue_LB_vs_Glucose,qvalue_Glycerin.AA_vs_Glucose,qvalue_Acetate_vs_Glucose,qvalue_Fumarate_vs_Glucose,qvalue_Glucoseamine_vs_Glucose,qvalue_Glycerol_vs_Glucose,qvalue_Pyruvate_vs_Glucose,qvalue_Chemstat.0.5_vs_Glucose,qvalue_Chemstat.0.35_vs_Glucose,qvalue_Chemstat.0.2_vs_Glucose,qvalue_Chemstat.02_vs_Glucose,qvalue_Statday_vs_Glucose,qvalue_Stat.3days_vs_Glucose,qvalue_Glucose.2_vs_Glucose,qvalue_OSM_vs_Glucose,qvalue_42.C_vs_Glucose,qvalue_pH6_vs_Glucose,qvalue_Xylose_vs_Glucose,qvalue_Mannose_vs_Glucose,qvalue_Galactose_vs_Glucose,qvalue_Succinate_vs_Glucose,qvalue_Fructose_vs_Glucose,cv_LB,cv_Glucose.1,cv_Glycerin.AA,cv_Acetate,cv_Fumarate,cv_Glucoseamine,cv_Glycerol,cv_Pyruvate,cv_Chemstat.0.5,cv_Chemstat.0.35,cv_Chemstat.0.2,cv_Chemstat.0.12,cv_Stat.1day,cv_Stat.3days,cv_Glucose.2,cv_OSM,cv_42.C,cv_pH6,cv_Xylose,cv_Mannose,cv_Galactose,cv_Succinate,cv_Fructose
P76113,curA,681.37,0.373675309747138,0.588825948811092,1.2920289897308,1.220659756863,1.23079258112967,1.14099292374299,0.833750135755383,0.814392458657114,1.03004535434709,1.5675744773288,2.35822025755646,2.20966750076087,2.09682093159803,0.833445122227694,1.46397972968448,0.634877497550153,1.61188734864761,0.687187847007753,1.08386400876569,2.00289686138184,0.823392075485162,0.643244779388904,0.136440671199493,0.000531662110042333,0.0101413396099594,0.222390787141972,0.203686927666075,0.631802301218714,0.0704697680183883,0.0987650939429665,0.479892492194792,0.0012794235620065,0.000180925521212652,0.000327649936287127,0.000301186596092153,0.443624521164152,0.0110596051058654,0.0106349740225312,0.00157530738954601,0.0124659719812754,0.236864801160159,0.00147604346669525,0.149269497606202,0.00323275964489777,66.979279980975,6.07180501891086,1.99676472202344,5.83372689982004,14.6450201263531,12.6526191297281,13.4508296617292,11.0053914276737,15.9648078783963,2.77187246534678,8.07072007534024,10.4091658009797,4.12842731194872,6.18608885697224,18.5686690017631,5.96352034777623,6.97180211267128,6.53793538149819,11.1878618435556,1.93386290823217,12.8360155396352,23.7786377912819,5.40703899783954
P69451,fadD,549.24,2.34806238129062,1.85817737076172,1.90215632219625,2.64137950930863,1.28453287016058,1.09199116800864,2.02102422131842,2.36524740370203,3.68692853938245,4.25710056872758,4.22665950413549,2.73323426400777,2.83263894267722,1.70850989264017,1.43895595114734,1.93768126939244,0.682402160893181,0.948118982381349,1.91511003313857,1.94919718935035,1.76226335088717,0.86991125891258,0.0012814398391209,0.00540246739631749,0.00105135868156462,0.000432531556436806,0.0882833273815551,0.839245690905627,0.00718733421355044,0.000986865464065985,3.71094937879458e-05,6.32846881256588e-05,2.07409871590721e-05,0.000323843249818469,0.000472240221206521,0.0500923875636441,0.0552886338789837,0.9998587693432,0.0164590028801619,0.368230101134326,0.00350907410450886,0.00254849845894563,0.0106110892766944,0.799266602224375,11.0736305926969,10.3525230223579,12.96610094132,5.70942264503895,10.4057265665118,23.0547863562856,23.2533481128385,15.0065833372244,10.9363445927395,1.95672492527111,9.17540107212407,5.40827515671519,4.70023185060321,11.9159798986295,13.0231674790115,21.1508665350324,69.153349034317,18.9952481847737,4.1541140245678,11.1016680988782,11.5251394169248,14.4454834004186,32.0980112190376
P28304,qorA,730.37,0.507151476116322,0.77267930217654,2.32782720829528,1.58330820060271,1.88416351546323,1.55717922181087,1.47778592520437,1.11103105228977,1.49847665014629,2.00422332280664,3.19077278961608,3.56895900896895,3.54598834315128,1.01485118015208,1.46086121844716,1.5415691924218,2.35366223546058,1.13755424642481,1.65373996246529,3.103823385711,1.29302226880763,0.989268688404726,0.256242814846309,0.018919008000938,0.000224457851683551,0.00157267389948294,0.00040703192705247,0.00104296528811786,0.00348330266213919,0.101469562440413,0.000318711981993133,8.5614326614601e-05,6.24003326989442e-06,0.000349603260834503,4.92005011317723e-05,0.930562292275611,0.00545267675516448,0.0401165451196528,0.000261167539560048,0.126104393860494,0.000751090798675213,0.000302805300929468,0.0960642351883373,0.534007098840072,57.6367516798027,2.77923088370075,8.45273677360582,7.1897758814936,8.69795909573931,3.47199645431665,5.76447592545924,4.00856794846509,7.12813573413891,3.2142462767999,5.33157484077114,2.33311120200152,15.8686154630915,6.62195648309406,3.9655115230015,5.13877389754512,15.6191500309159,7.14135277172851,13.3866035215901,5.21110547662268,12.9658606207026,15.3724269579549,9.74239269190012
P37313,dppF,485.78,0.49593606434299,3.84463797258241,1.68428021198838,2.72045867393227,1.63192177159025,2.02360148361194,2.38970342038988,1.96711755178484,2.17719419684508,2.04116679991556,2.15827870637457,0.254595093502195,0.379260319344264,1.02369550162834,0.569906130100556,1.55845974415464,1.35423350144143,1.66312715228688,1.90056595002028,1.69253577430797,2.64236838973811,1.72180640947921,0.388136337949753,0.00115658634576146,0.029537248596343,0.00245279517170158,0.0749591840407262,0.0129006652267054,0.0066532843030361,0.0107569502628915,0.00505050412480366,0.00586942235523337,0.0043139839748979,0.00509883987436225,0.00317401911754622,0.713904322269176,0.0161451406045308,0.16852114485894,0.20365190035607,0.0479861804258285,0.0124597039664762,0.028864192516097,0.00490127636242158,0.0321931713909923,76.1141618664697,24.5180070703746,10.7859522021008,2.66008431761198,3.9317709628626,12.6758680686493,3.825941901303,5.52043165617333,5.2516606819235,8.27425126322724,2.23201439028383,5.58553937980054,39.197249819488,20.5007072848081,5.32587129585519,16.6086279940428,12.2398036699406,4.39633208489911,8.6962748863804,5.59098035406195,4.73346715069415,7.56878617651608,2.68985178388241
P0AFD1,nuoE,656.05,4.60154839526082,2.97186006231445,1.31110123679307,2.2735361058746,2.42991615210472,2.02925439014052,1.83468915083024,1.53553098208662,2.14402538112036,2.40074522296493,2.1678994218005,0.446436013335231,0.514135442198015,1.34649733348425,0.759849839476811,1.02849753270691,1.21091021174577,1.08519246055684,1.86137620310181,1.57438311197865,2.00770805461373,1.38641269802773,2.96510820822761e-05,2.44398546209286e-05,0.0121742572908948,0.000265083063655582,0.000340249459729094,0.00027581086863434,0.00141609652850259,0.00509188549977274,2.28545347110127e-05,5.86659540151562e-05,2.94371455723691e-05,0.00512333497359671,0.00730491441873527,0.0544412348889678,0.0483022064707853,0.761364414386087,0.017191313365055,0.528588707250234,0.000709899585095968,0.000651849357162944,0.000401460920711674,0.00646605523212593,8.75512678149664,0.752253198785334,3.08748708347291,7.91447203305158,10.2265214373805,8.14399390973287,6.39179863989072,8.70194180454564,17.8983957483849,1.17282277749438,6.32691661197074,5.16374621121928,24.893564058717,26.5068567053864,9.48109454727075,9.77334629961142,20.0104171235216,4.1725022355919,16.3308974383896,9.41233076817093,3.7332858450967,4.65841131121133,8.86324092305214
P13024,fdhE,856.45,2.76075472971283,0.80173432406345,0.69457578502763,0.680043024536805,0.978368207594635,0.687062312758763,0.902470681617362,0.763929319896468,0.852388042902245,0.711173041986557,0.702004789293073,1.79272216393744,0.269423862982914,0.677434579218049,1.03901912848705,0.92651636392012,0.918653866974925,0.771494301750429,0.805964282660438,0.802309714373291,0.830692107778838,0.642481568188975,0.00114556439943062,0.414829666376204,0.0776989023039262,0.157136753617721,0.856002918513911,0.343087825988288,0.786984401909694,0.142610489523683,0.80684474013232,0.0950842041130525,0.0776062484593245,0.0534088634138543,0.00809879399496044,0.538735792009528,0.480643804046996,0.751643220100994,0.991390818660625,0.334808519174572,0.507096069650895,0.48069445143277,0.472132799766571,0.0904614142263537,12.648028126466,19.3089203140217,8.44863310900096,7.56922877517378,13.7909877030278,9.60134970542698,19.5628365314252,6.35397528522822,9.45533111005899,16.2390660035199,0.910523225584697,5.42901137969832,44.8691115368006,44.2361096221131,23.6821194658102,10.5691820064181,9.42329109347722,1.26285534322695,32.9380988078898,24.8565446782089,29.9790662480078,15.8409541888105,12.7022671529115
P77444,sufS,689.39,0.227283943068538,0.473623156937511,1.01634744069208,0.813901824823254,0.754101021648934,0.785020430046998,0.950642739710822,0.707260639535351,0.763027406573342,0.748046957545233,0.71737510907053,1.30790032759635,1.42955526346637,0.661100045191831,2.84498504935775,0.845673404876375,1.21304691131854,1.41269313400295,0.802720631427431,0.876940150243344,0.537578120998348,0.620592191811824,0.00239084475086292,0.00069884367095979,0.358755336177045,0.0424093023712324,0.196310996178423,0.273545294765759,0.908574894242649,0.0168409639369862,0.00719335965879119,0.00856257786835594,0.0379327170306139,0.0507862742471511,0.0121745316133182,0.0779708669583054,0.000474454500531395,0.320618958830591,0.0129428649213809,0.101390324535435,0.038201588004427,0.346100426013862,0.00109448189975718,0.00611914746869318,36.7128832139103,7.15027145021778,8.02289745687519,15.9372822887013,6.7622747337226,22.4674457267945,19.3318869402403,13.861832914895,9.66920807106907,2.74676542647294,4.26040175661768,13.186664926928,18.2858744666663,12.3753183657288,12.5844840275324,3.8712953438023,21.472947123626,2.84263363164707,18.3271958856577,3.27376681875738,10.7326500629679,0.324440584111242,7.80863159874327
P37349,dhaM,764.21,0.677883939994397,1.45092081873929,0.254996296977256,0.263298598006484,0.737510390494767,1.42658172513262,0.438731363331947,0.491709349120912,0.330810790899039,0.325341105018224,0.297836589734119,0.69797490042274,0.724644272317051,0.92474396697718,1.3669333601948,1.45786121977438,1.12366031068467,1.17101103469615,0.438617811246521,0.437057547862812,0.243039762460998,0.661488426957874,0.00901050880146124,0.00474735767555448,0.000266197954793343,3.23028393321797e-05,0.00607612979854424,0.00603513838033046,0.00265469512299771,0.000357344020215303,5.96079329226357e-05,2.15989661843647e-05,2.15233163124075e-05,0.125190403465773,0.00516751808383176,0.298143768702514,0.0144465212588923,0.0320763695233896,0.236251545944085,0.175397305775673,0.000131181818600963,0.00017040326475622,0.000114870376349781,0.0152263423894331,11.3383788084728,4.94330616389613,9.02864961942863,17.6003868112719,4.60398521304775,6.39428562805856,6.15764325333183,17.6647725263522,7.63126777592361,10.4017101230014,3.48273903086104,9.13183122303052,24.4043842952189,6.82301393940928,4.12888440017742,2.31946443873407,11.9501760983556,5.23570443892926,8.17696858484971,2.83594761778415,3.88068186181383,5.59745239220176,14.7745679748641
P0A759,nagB,457.8,1.35027388444172,0.864743908273837,1.59809334979255,1.71098321496773,2.81871754250897,1.58615450541572,1.17770741494428,1.75130047266465,2.00638425934711,2.12482345458743,2.0829155060288,2.53225362160943,2.23365166204854,1.06304029081839,1.00003800990703,1.32653090737629,1.88351169336734,1.23223941651502,1.91578467864915,6.07067536858984,1.33074466399109,1.26928461064599,0.013815626235336,0.138047768204065,0.00121617907535693,0.000462594314052491,0.000221843056787994,0.00160461760832313,0.0451388634537221,0.0008539077883622,7.45061670906255e-05,0.000109061811645045,6.45610449773835e-05,0.00020661493565241,0.000587106232974064,0.559979570733653,0.76384339417323,0.0342388741479773,0.00259704395093216,0.112218361033403,0.000449957018519935,0.000638903602099549,0.0393602577653492,0.0101887522647044,9.82772074340641,6.21793816250288,10.553964480344,5.55017700765827,1.07637924491012,7.1338827436726,4.94870459886129,9.04567159743657,6.82239447802425,0.165490458263715,5.44041219749916,4.46376951551489,5.16316075327332,11.0817821798674,7.5410325193272,20.3476284432576,12.1493422040151,12.6599520645381,11.4218027881911,5.69195412222428,39.0011143790731,20.8495561726639,2.05505309499123
P0AC59,grxB,561.28,0.353138039761073,0.459144128169054,0.893820641371776,0.998824178190211,1.21606119717281,0.813644799269237,0.992759685632767,0.736795880725524,0.66659403451544,0.70207287315641,0.482981104620851,2.29389588228548,2.50721244321938,1.07099783859545,3.23485510387878,1.03587865842029,1.85816835442811,1.04010119008829,1.15626386252335,1.35241092022524,1.09980155594571,0.868833005752098,0.000411971291208888,0.000275989892593231,0.163834511410137,0.745739197567205,0.017024641352845,0.0359856122969045,0.899542766106473,0.0224986806129066,0.000995542079241379,0.00497849327169562,5.04839183711972e-05,0.00337477874229609,0.000185839590467777,0.497376191039657,0.000687782787000119,0.856568384662712,0.00127327264619464,0.577304894130751,0.0517667852049095,0.00633477345678585,0.396324738945498,0.168292441614275,13.3890721142865,6.16512463319796,6.31131008150549,4.01220637784339,5.13067183455054,2.92045640303749,5.74184460466413,9.71490509076821,11.6853428318711,4.51485601619979,7.80736141370788,1.75831960696871,20.0653565479223,7.90402818191195,5.90304541892986,11.1600182123469,8.26990955476311,10.1671569199884,7.86627453308592,13.0338455053086,6.79891104940111,7.76755648927373,6.40825484542804
