uniprot,gene_name,medianRatio_50 mM NaCl_vs_glucose,medianRatio_pH 6_vs_glucose,medianRatio_42°C_vs_glucose,medianRatio_anaerobic_vs_glucose,medianRatio_stationary 1 day_vs_glucose,medianRatio_stationary 3 days_vs_glucose,medianRatio_chemostat µ=0.12_vs_glucose,medianRatio_chemostat µ=0.5_vs_glucose,medianRatio_galactose_vs_glucose,medianRatio_acetate_vs_glucose,medianRatio_glycerol_vs_glucose,medianRatio_LB_vs_glucose,medianRatio_glucosamine_vs_glucose,medianRatio_fumarate_vs_glucose,medianRatio_succinate_vs_glucose,medianRatio_pyruvate_vs_glucose,medianRatio_chemostat µ=0.20_vs_glucose,medianRatio_chemostat µ=0.35_vs_glucose
P06974,fliM,6.374216473,1.898319741,0.927448318,0.202297232,0.102659353,0.4906803,0.117021878,3.488088087,1.240377371,0.278048253,11.49806124,32.88224718,4.638410939,13.21348655,5.432101501,0.414887866,5.074685459,0.881612329
P31660,prpC,1.957458024,1.596918855,8.275138004,4.166072415,3.995017623,2.693876877,6.155525452,13.2301034,237.0405611,2.244905485,1.731183534,6.308914983,2.539906813,76.49252494,0.744484797,2.592888889,32.26134533,85.95054536
P0ABJ9,cydA,1.246981237,18.20168518,0.820733835,10.82969443,0.685950029,31.32607963,6.244431603,3.96462013,0.866014982,1.30173321,2.861255849,21.51245103,0.303449414,5.767915438,0.26698499,6.31565542,0.612451851,1.979125312
P76621,csiD,1.814687216,0.304904285,0.304904285,0.427943243,2.593356851,0.304904285,53.33552081,378.9056955,351.4258492,421.6891743,437.6351433,40.42539548,16.87379364,315.795607,199.3538485,376.9341847,71.4879627,222.4230629
P38684,torR,0.783678167,0.71707243,0.891080923,1.468360919,1.207187939,1.726173332,1.228008812,1.623781281,1.688163598,0.929190229,0.730186646,0.941901158,1.01886188,0.858168054,0.889869485,0.985872076,1.304543306,1.440439191
P38105,rspB,22.18286454,10.86302435,1.079513576,1.011618548,0.807501041,3.369632493,37.27531926,1.281349065,15.19793304,2.253084277,25.32003975,3.78227721,4.444929621,0.826397823,1.733561229,50.78755206,26.50825087,0.06243284
P21361,yciG,1.088378674,0.900179651,3.413087697,1.684824378,1.058528518,32.35439468,2.145312229,2.352473804,2.039391584,3.763766603,3.085627577,2.304256759,4.164707272,2.833491068,1.791049867,6.479247984,1.111890004,0.152303423
P64574,yghW,21.82832717,3.852448518,5.595441066,93.87688861,34.44108494,17.44099376,18.08951103,95.93921205,2.345284678,0.126964021,5.445379512,1.781687004,0.248501557,0.375721585,0.394534904,0.251434104,59.1452017,57.0953724
P33014,yeeD,0.742290801,0.917633835,0.700415896,0.501311766,0.005344418,0.002550816,0.669153167,0.754026955,0.634846239,1.036984947,0.889146853,0.020766783,0.898006791,1.077039944,0.964384711,1.218928976,0.798496641,0.485406664
P0A7N9,rpmG,1.250626325,1.271334452,1.04270016,1.175874423,1.98432068,2.531887661,0.66148945,0.843541154,0.585706624,0.519057475,0.888201104,1.798964886,0.881746324,0.862652863,0.644927209,0.446364484,0.554836694,0.78836919
