#id: 3740039012
#name: E.coli str. K-12 substr. MG1655 - Whole organism (Integrated)
#score: 23.3
#coverage: 91
#description: integrated dataset: weighted average of all E.coli str. K-12 substr. MG1655 WHOLE_ORGANISM: 23.3; Coverage: 91
#organ: WHOLE_ORGANISM
#integrated: true
#weights: Escherichia_coli_SC_biomart_29780_E_BTO0000214cellculture_2reps:0.227;Ecoli_iBAQ_arike_2012:0.136;Escherichia_coli_SC_biomart_17112_E__2reps:0.079;Escherichia_coli_SC_biomart_18119_E__5reps:0.056;PXD014877_Mueller_Nature_2020_Escherichia_coli:0.054;Ecoli_Krug_2013:0.051;PXD020761_Midha_Sci_Data_2020_Ecoli_DIA-SWATH:0.05;ecoli1_HCD_CID_PRIDE:0.047;Ecoli_emPAI_arike_2012:0.046;ecoli2_resolutionCombination_PRIDE:0.045;Escherichia_coli_SC_biomart_12189_E__2reps:0.044;WT-lewis-peptide_count:0.04;Ecoli_APEX_arike_2012:0.038;Ecoli_Krug_2013_emPAI:0.029;511145_GPM_201408:0.02;Taniguchi_2010_Table_S6:0.014;Lu_ecoli_2007:0.013;E_coli_Wisniewski_2014_cpc:0.007;Ecoli_strainK12_PRIDE:0.004;
#publication_year: 2026
#filename: 511145-WHOLE_ORGANISM-integrated.txt
#
#gene_name	string_external_id	abundance
gatD	511145.b2091	1021
sspA	511145.b3229	1019
bcp	511145.b2480	1015
pta	511145.b2297	1011
yahK	511145.b0325	1004
crp	511145.b3357	1003
bfr	511145.b3336	995
stpA	511145.b2669	987
efp	511145.b4147	983
hinT	511145.b1103	983
atpH	511145.b3735	983
talA	511145.b2464	960
prs	511145.b1207	953
aldB	511145.b3588	953
ydcS	511145.b1440	949
fbaB	511145.b2097	949
leuD	511145.b0071	948
iscU	511145.b2529	941
yggX	511145.b2962	937
thrC	511145.b0004	934
clpP	511145.b0437	932
gnsB	511145.b1550	931
trpA	511145.b1260	928
minE	511145.b1174	927
gdhA	511145.b1761	919
msyB	511145.b1051	906
leuB	511145.b0073	906
chrR	511145.b3713	902
folE	511145.b2153	900
ygdI	511145.b2809	899
pepD	511145.b0237	898
osmY	511145.b4376	896
pspA	511145.b1304	893
trpB	511145.b1261	892
elaB	511145.b2266	885
glpK	511145.b3926	884
gmhA	511145.b0222	879
nusA	511145.b3169	876
lysS	511145.b2890	872
sdhB	511145.b0724	870
pfkA	511145.b3916	868
deoD	511145.b4384	867
artI	511145.b0863	860
ygiW	511145.b3024	854
znuA	511145.b1857	853
panB	511145.b0134	852
ychN	511145.b1219	846
ecnB	511145.b4411	841
ftsZ	511145.b0095	840
ppc	511145.b3956	839
infB	511145.b3168	837
patD	511145.b1444	835
fklB	511145.b4207	831
potD	511145.b1123	830
pykA	511145.b1854	827
nfuA	511145.b3414	825
mreB	511145.b3251	820
infA	511145.b0884	820
grxC	511145.b3610	805
cpxR	511145.b3912	804
leuC	511145.b0072	803
tolB	511145.b0740	801
accA	511145.b0185	799
recA	511145.b2699	799
uspE	511145.b1333	798
gadB	511145.b1493	797
atpE	511145.b3737	795
ydgH	511145.b1604	792
hfq	511145.b4172	787
greA	511145.b3181	787
yegP	511145.b2080	779
serS	511145.b0893	773
yihD	511145.b3858	772
nfsB	511145.b0578	771
dksA	511145.b0145	765
glyS	511145.b3559	763
hldD	511145.b3619	759
yhbY	511145.b3180	757
proS	511145.b0194	751
yhcB	511145.b3233	751
sdhA	511145.b0723	742
htpG	511145.b0473	741
moaB	511145.b0782	739
cspD	511145.b0880	737
gstA	511145.b1635	734
fkpA	511145.b3347	734
hchA	511145.b1967	733
guaA	511145.b2507	730
qorA	511145.b4051	727
ydcH	511145.b1426	726
ygiN	511145.b3029	724
deoB	511145.b4383	723
fumC	511145.b1611	720
ydfG	511145.b1539	715
potF	511145.b0854	709
ydhR	511145.b1667	708
ompT	511145.b0565	702
tktB	511145.b2465	699
fabZ	511145.b0180	692
yebV	511145.b1836	684
yfbU	511145.b2294	684
aroG	511145.b0754	681
degP	511145.b0161	681
cysP	511145.b2425	678
iscR	511145.b2531	678
lsrB	511145.b1516	677
ydfZ	511145.b1541	676
clpX	511145.b0438	674
maeB	511145.b2463	673
ydcL	511145.b1431	672
thrS	511145.b1719	669
rpmJ	511145.b3299	661
argG	511145.b3172	659
rcsB	511145.b2217	657
aspS	511145.b1866	656
yoaB	511145.b1809	655
purB	511145.b1131	655
mlaC	511145.b3192	653
ybaY	511145.b0453	651
pgl	511145.b0767	648
surA	511145.b0053	647
yggE	511145.b2922	645
can	511145.b0126	643
ldtB	511145.b0819	643
sucA	511145.b0726	642
rpoD	511145.b3067	633
purH	511145.b4006	630
ettA	511145.b4391	628
pal	511145.b0741	627
cspA	511145.b3556	625
ppsA	511145.b1702	621
gstB	511145.b0838	620
malM	511145.b4037	617
purE	511145.b0523	616
fldA	511145.b0684	616
alaS	511145.b2697	615
pepB	511145.b2523	614
deoC	511145.b4381	613
katE	511145.b1732	609
cydA	511145.b0733	604
pheS	511145.b1714	603
fur	511145.b0683	603
pyrC	511145.b1062	603
fabH	511145.b1091	602
sseA	511145.b2521	599
ytfQ	511145.b4227	597
ssb	511145.b4059	595
pstS	511145.b3728	595
grxB	511145.b1064	592
wcaN	511145.b2042	591
typA	511145.b3871	584
agp	511145.b1002	584
yaiE	511145.b0391	583
leuS	511145.b0642	581
trpS	511145.b3384	576
galM	511145.b0756	573
trxB	511145.b0888	571
slp	511145.b3506	569
glmS	511145.b3729	568
hisG	511145.b2019	563
rpe	511145.b3386	563
accB	511145.b3255	561
nadE	511145.b1740	560
livK	511145.b3458	559
ivy	511145.b0220	555
galU	511145.b1236	553
accD	511145.b2316	551
pheT	511145.b1713	550
gpmM	511145.b3612	543
metJ	511145.b3938	543
btuE	511145.b1710	542
gltX	511145.b2400	541
yjeI	511145.b4144	537
panC	511145.b0133	535
ileS	511145.b0026	531
ygfZ	511145.b2898	531
ugpB	511145.b3453	528
yncE	511145.b1452	527
pgm	511145.b0688	527
yjgA	511145.b4234	524
ybeL	511145.b0643	522
rpmI	511145.b1717	520
rbfA	511145.b3167	517
carB	511145.b0033	516
ppiA	511145.b3363	514
ompR	511145.b3405	513
thrA	511145.b0002	508
proQ	511145.b1831	508
yeaG	511145.b1783	508
glpD	511145.b3426	507
ycaR	511145.b0917	505
yciG	511145.b1259	504
yebC	511145.b1864	502
frdB	511145.b4153	502
glmM	511145.b3176	499
cheY	511145.b1882	499
gcvH	511145.b2904	496
pspE	511145.b1308	495
pntB	511145.b1602	495
iraP	511145.b0382	495
yccU	511145.b0965	490
modA	511145.b0763	490
glnS	511145.b0680	487
phoP	511145.b1130	486
slyA	511145.b1642	485
flu	511145.b2000	485
dapA	511145.b2478	484
cdd	511145.b2143	480
acrA	511145.b0463	480
hemL	511145.b0154	480
artJ	511145.b0860	479
dkgA	511145.b3012	478
zwf	511145.b1852	474
fis	511145.b3261	472
ycfP	511145.b1108	470
purM	511145.b2499	461
ilvH	511145.b0078	460
yggL	511145.b2959	459
metG	511145.b2114	458
acnA	511145.b1276	456
ptsG	511145.b1101	456
ydbC	511145.b1406	454
glyQ	511145.b3560	454
poxB	511145.b0871	452
gyrA	511145.b2231	450
accC	511145.b3256	449
manZ	511145.b1819	449
yghU	511145.b2989	447
rraA	511145.b3929	445
acuI	511145.b3253	445
ybbN	511145.b0492	445
opgG	511145.b1048	443
hdhA	511145.b1619	442
lon	511145.b0439	442
yjdM	511145.b4108	441
galT	511145.b0758	441
ftsH	511145.b3178	441
hisS	511145.b2514	437
ahpF	511145.b0606	437
carA	511145.b0032	434
fdx	511145.b2525	434
tyrS	511145.b1637	434
pyrG	511145.b2780	432
glcB	511145.b2976	431
degQ	511145.b3234	431
ydgA	511145.b1614	429
glpQ	511145.b2239	429
prmB	511145.b2330	428
ydjA	511145.b1765	424
elbB	511145.b3209	424
yajG	511145.b0434	423
hslU	511145.b3931	422
prfB	511145.b2891	422
dsbA	511145.b3860	420
galE	511145.b0759	419
purL	511145.b2557	418
fabF	511145.b1095	418
hisD	511145.b2020	417
msrB	511145.b1778	417
rne	511145.b1084	415
