g1,g2,n1,n2,kappa_i,kappa_j,kappa_ij,eps_add,rho,eps_growth,growth_i,growth_j,growth_ij,J_support,J_dR,SL,panel,kappaV_i,kappaV_j,kappaV_ij,eps_masked,n_dis_ij,shared_subsystems
b2242,b3919,glpB,tpiA,0.0,871.9980214793411,871.9980214793349,-6.252776074688882e-12,0.9999999999999917,-1.0950932383124723e-09,0.8769972144269701,0.8422625567901132,0.8422625567901132,0.0,0.0,False,X,0.0,0.0,0.0,0.0,3,
b2242,b3630,glpB,waaP,0.0,0.0,0.0,0.0,0.5,-1.1402541133520572e-09,0.8769972144269701,0.87699721442697,0.8769972144269702,0.0,0.0,False,B,0.0,0.0,0.0,0.0,3,
b2242,b4394,glpB,yjjX,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,4,
b2242,b2146,glpB,preT,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,3,
b2242,b0832,glpB,gsiD,0.0,0.0,0.0,0.0,0.5,-1.140254779485872e-09,0.8769972144269701,0.8769972144269701,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,3,
b2242,b3396,glpB,mrcA,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,2,
b2242,b0723,glpB,sdhA,0.0,3719.237820017231,3719.237820016615,-6.161826604511589e-10,0.9999999999998341,-1.0945263584360987e-09,0.8769972144269701,0.8418157926999568,0.8418157926999444,0.0,0.0,False,X,0.0,0.0,0.0,0.0,3,
b2242,b2282,glpB,nuoH,0.0,3294.285861140926,3294.285861140378,-5.479705578181893e-10,0.9999999999998334,-9.863688754663258e-10,0.8769972144269701,0.7586431920374903,0.758643192037494,0.0,0.0,False,X,0.0,3294.285861140926,3294.285861140378,-5.479705578181893e-10,5,
b2242,b2278,glpB,nuoL,0.0,3294.285861140926,3294.285861140378,-5.479705578181893e-10,0.9999999999998334,-9.863688754663258e-10,0.8769972144269701,0.7586431920374903,0.758643192037494,0.0,0.0,False,X,0.0,3294.285861140926,3294.285861140378,-5.479705578181893e-10,5,
b2242,b0681,glpB,chiP,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,2,
b2242,b1473,glpB,yddG,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.8769972144269699,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,5,
b2242,b0401,glpB,brnQ,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.8769972144269699,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,5,
b2242,b2842,glpB,kduD,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,2,
b2242,b4101,glpB,phnG,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,3,
b2242,b2682,glpB,ygaZ,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,2,
b2241,b3426,glpA,glpD,0.0,0.0,0.0,0.0,0.5,-1.140254557441267e-09,0.8769972144269701,0.87699721442697,0.87699721442697,0.0,0.0,False,ISO,0.0,0.0,0.0,0.0,3,
b1692,b3281,ydiB,aroE,0.0,0.0,18414.902542344036,18414.902542344036,9207451271172018.0,-1.0000000022805087,0.87699721442697,0.87699721442697,-0.0,0.0,0.0,True,ISO,0.0,0.0,18414.902542344036,18414.902542344036,3,
b0446,b3812,cof,yigB,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,ISO,0.0,0.0,0.0,0.0,0,
b0446,b0844,cof,ybjI,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,ISO,0.0,0.0,0.0,0.0,0,
b0446,b1134,cof,nudJ,0.0,0.0,0.0,0.0,0.5,-1.1402541133520572e-09,0.87699721442697,0.8769972144269695,0.8769972144269697,0.0,0.0,False,ISO,0.0,0.0,0.0,0.0,2,
b0446,b2293,cof,yfbT,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,ISO,0.0,0.0,0.0,0.0,1,
b0446,b0675,cof,umpH,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,ISO,0.0,0.0,0.0,0.0,0,
b0446,b0766,cof,ybhA,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,ISO,0.0,0.0,0.0,0.0,1,
b0446,b3826,cof,yigL,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,ISO,0.0,0.0,0.0,0.0,0,
b0446,b1727,cof,yniC,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.8769972144269701,0.8769972144269701,0.0,0.0,False,ISO,0.0,0.0,0.0,0.0,1,
b0844,b3812,ybjI,yigB,0.0,0.0,18414.902542344003,18414.902542344003,9207451271172002.0,-1.0000000022805087,0.87699721442697,0.87699721442697,-0.0,0.0,0.0,True,ISO,0.0,0.0,18414.902542344003,18414.902542344003,1,
b4382,b4384,deoA,deoD,0.0,2.6609638263948515e-06,2.6609638061759413e-06,-2.021891023205359e-14,0.9999996165982665,-1.1402515598391005e-09,0.8769972144269701,0.8769949942192896,0.8769949942192897,0.0,0.0,False,ISO,0.0,0.0,0.0,0.0,4,
b0126,b0339,|can|,cynT,0.0,0.0,18414.902542344018,18414.902542344018,9207451271172010.0,-1.0000000022805087,0.87699721442697,0.87699721442697,-0.0,0.0,0.0,True,ISO,0.0,0.0,18414.902542344018,18414.902542344018,1,
b0126,b3752,|can|,rbsK,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.8769972144269703,0.8769972144269703,0.0,0.0,False,B,0.0,0.0,0.0,0.0,1,
b0126,b4232,|can|,fbp,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,0,
b0126,b2926,|can|,pgk,0.0,3084.5992339759005,3084.5992339759005,0.0,0.9999999999999997,-9.874124851094734e-10,0.87699721442697,0.7594428152438919,0.7594428152438919,0.0,0.0,False,X,0.0,3084.5992339759005,3084.5992339759005,0.0,1,
b0126,b3011,|can|,yqhD,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,1,
b0126,b0871,|can|,poxB,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.8769972144269703,0.8769972144269703,0.0,0.0,False,B,0.0,0.0,0.0,0.0,1,
b0126,b4015,|can|,aceA,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.8769972144269703,0.8769972144269703,0.0,0.0,False,B,0.0,0.0,0.0,0.0,1,
b0126,b3617,|can|,kbl,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.8769972144269703,0.8769972144269703,0.0,0.0,False,B,0.0,0.0,0.0,0.0,1,
b0126,b2988,|can|,gss,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,2,
b0126,b1767,|can|,ansA,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,0,
b0126,b2601,|can|,aroF,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,0,
b0126,b0347,|can|,mhpA,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,2,
b0126,b1656,|can|,sodB,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,0,
b0126,b1465,|can|,narV,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,0,
b0126,b2429,|can|,murP,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,2,
b0126,b0861,|can|,artM,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,0,
b0126,b3735,|can|,atpH,0.0,19586.667612014615,19586.667612014615,0.0,0.9999999999999998,-3.704641038382306e-10,0.87699721442697,0.2849329232733675,0.2849329232733675,0.0,0.0,False,X,0.0,19586.667612014615,19586.667612014615,0.0,1,
b0126,b0341,|can|,cynX,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,1,
b0126,b0934,|can|,ssuC,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,3,
b0126,b1296,|can|,puuP,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,0,
