g1,g2,n1,n2,chi,kappa_moma_i,kappa_moma_j,kappa_moma_ij_ifirst,kappa_moma_ij_jfirst,kappa_path_asymmetry,h_loop_ifirst,h_loop_jfirst,h_loop_asym,eps_add,kappa_i,kappa_j,kappa_ij,SL,panel
b3732,b3733,atpD,atpG,0.0,9110.51178279249,9110.51178279249,9110.51178279249,9110.51178279249,0.0,272.9656969818416,272.9656969818416,0.0,-19586.667612014615,19586.667612014615,19586.667612014615,19586.667612014615,False,A
b3732,b3738,atpD,atpB,0.0,9110.51178279249,9110.51178279249,9110.51178279249,9110.51178279249,0.0,272.9656969818416,272.9656969818416,0.0,-19586.667612014615,19586.667612014615,19586.667612014615,19586.667612014615,False,A
b3733,b3738,atpG,atpB,0.0,9110.51178279249,9110.51178279249,9110.51178279249,9110.51178279249,0.0,272.9656969818416,272.9656969818416,0.0,-19586.667612014615,19586.667612014615,19586.667612014615,19586.667612014615,False,A
b0118,b1276,acnB,acnA,4.499917589430042e-12,2.6143788861159064e-24,5.195449018867153e-29,2689.324219918575,2689.324219918578,2.7284841053187847e-12,275.3275033840729,275.32750338407146,4.842282289388173e-12,18884.133038132593,0.0,0.0,18884.133038132593,True,ISO
b3829,b4019,metE,metH,0.0,5.195449018867153e-29,5.195449018867153e-29,3319.1789114277876,3319.1789114277876,0.0,105.54648004662042,105.54648004662042,0.0,18414.90254234409,0.0,0.0,18414.90254234409,True,ISO
b0092,b0381,ddlB,ddlA,0.0,5.195449018867153e-29,5.195449018867153e-29,1686.9163620798122,1686.9163620798122,0.0,105.77336522044095,105.77336522044095,0.0,18414.902542344058,0.0,0.0,18414.902542344058,True,ISO
b1692,b3281,ydiB,aroE,0.0,5.195449018867153e-29,5.195449018867153e-29,3315.1114573492673,3315.1114573492673,0.0,112.74803692337719,112.74803692337719,0.0,18414.902542344036,0.0,0.0,18414.902542344036,True,ISO
b0388,b3390,aroL,aroK,0.0,5.195449018867153e-29,5.195449018867153e-29,3315.1114573492673,3315.1114573492673,0.0,112.74803692337719,112.74803692337719,0.0,18414.902542344036,0.0,0.0,18414.902542344036,True,ISO
b1096,b4039,pabC,ubiC,0.0,5.195449018867153e-29,5.195449018867153e-29,1711.9302942002107,1711.9302942002107,0.0,105.49472933859093,105.49472933859093,0.0,18414.902542344025,0.0,0.0,18414.902542344025,True,ISO
b0126,b0339,|can|,cynT,0.0,5.195449018867153e-29,5.195449018867153e-29,3557.063730801869,3557.063730801869,0.0,134.36404479085124,134.36404479085124,0.0,18414.902542344018,0.0,0.0,18414.902542344018,True,ISO
b1190,b4053,dadX,alr,0.0,5.195449018867153e-29,5.195449018867153e-29,1751.1314792257053,1751.1314792257053,0.0,105.71365784611787,105.71365784611787,0.0,18414.902542344018,0.0,0.0,18414.902542344018,True,ISO
b3117,b3772,tdcB,ilvA,0.0,5.195449018867153e-29,5.195449018867153e-29,1720.7166110111646,1720.7166110111646,0.0,107.54425518627261,107.54425518627261,0.0,18414.902542344018,0.0,0.0,18414.902542344018,True,ISO
b0273,b4254,argF,argI,0.0,5.195449018867153e-29,5.195449018867153e-29,3431.8785337524564,3431.8785337524564,0.0,107.91347331261841,107.91347331261841,0.0,18414.902542344014,0.0,0.0,18414.902542344014,True,ISO
b1622,b3008,malY,metC,0.0,5.195449018867153e-29,5.195449018867153e-29,3323.8192893928585,3323.8192893928585,0.0,105.54648004662288,105.54648004662288,0.0,18414.902542344014,0.0,0.0,18414.902542344014,True,ISO
b0048,b1606,folA,folM,0.0,5.195449018867153e-29,5.195449018867153e-29,3402.299546492907,3402.299546492907,0.0,105.57447796433365,105.57447796433365,0.0,18414.902542344014,0.0,0.0,18414.902542344014,True,ISO
b0928,b4054,aspC,tyrB,0.0,5.195449018867153e-29,5.195449018867153e-29,2108.8649741966956,2108.8649741966956,0.0,163.57613922517808,163.57613922517808,0.0,18414.90254234401,0.0,0.0,18414.90254234401,True,ISO
b0674,b3744,asnB,asnA,6.2330319670813455e-12,8.326088086774327e-26,5.195449018867153e-29,3237.0154883026407,3237.0154883026607,2.000888343900442e-11,105.94346208581904,105.94346208581915,7.298936710023116e-12,18414.90254234401,0.0,0.0,18414.90254234401,True,ISO
b1761,b3213,gdhA,gltD,6.337357125619364e-13,5.195449018867153e-29,6.572318991903518e-29,1839.210537700044,1839.2105377000426,1.3642420526593924e-12,209.68988555504652,209.68988555504677,1.1434323811138764e-12,18414.90254234401,0.0,0.0,18414.90254234401,True,ISO
